warriors were killed outright or 42
wherein there became manifest an 407
willingly have raised isabella to 61
windows into pretty pictures is 48
withdraw from public attention the 46
withdrew from active politics in 99
withdrew from active politics to 46
withdrew into winter quarters at 66
withdrew into winter quarters in 58
withheld from cities renowned to 156
workers have already acquired the 47
workers have become involved in 86
workers have called attention to 180
workers have little interest in 65
workers paid little attention to 89
workers show little interest in 41
workers were already employed in 64
workers were deeply involved in 44
workers were mostly employed in 40
workmen were busily employed in 140
writers have called attention to 1229
writers have reached maturity we 64
writers most highly esteemed by 41
writers paid little attention to 123
writers seem always involved in 44
writers show little interest in 54
writers were highly conscious of 42
writers were highly critical of 65
wrought into marble pictures of 53
wrought into various articles of 217
