wagged a 45 wagged a 169
waited a 70 waited a 98
waited a 52 walked a 49
walked a 59 walked a 49
walked a 161 walked a 51
walked a 49 walked a 51
walked a 141 walker a 50
wangled a 62 wanted i 57
wanted a 70 wanted a 84
wanted i 40 wanted a 42
wanton a 143 warmer a 40
warned a 165 warned a 67
warned a 1171 warned a 47
warned a 106 warnings a 64
warrior a 62 warrior a 100
warrior a 94 washed a 346
watching a 144 watching a 49
watching a 55 watching a 45
waters a 40 waters a 72
weapons a 46 wearied a 53
weight a 44 weight a 59
welded a 45 wended a 52
wended a 40 wheels a 85
whence a 88 whereas a 53
whereas a 48 whereas a 47
whereas a 48 whereas a 58
whereof a 44 whereof a 56
whether a 224 whether i 42
whether a 48 whether a 783
whether a 109 whether a 89
whether a 46 whether a 61
whether a 259 whether a 73
whether a 224 whether a 166
whether a 89 whether a 63
whether a 46 whether a 96
whether a 421 whether a 67
whether a 538 whether a 293
whether a 53 whether a 90
whether a 132 whether a 45
whether a 47 whether a 44
whether a 61 whether a 190
whether a 193 whether a 48
whether a 225 whether a 55
whether a 41 whether a 225
whether a 161 whether a 46
whether a 84 whether a 42
whether a 48 whether i 92
whether a 46 whether a 40
whether a 83 whether a 48
whether a 347 whether a 58
whether a 161 whether a 155
whether a 409 whether a 183
whether a 76 whether a 62
whether a 91 whether a 58
whether i 41 whether a 74
whether a 305 whether a 91
whether a 40 whether a 224
whether a 348 whether a 73
whether a 69 whether a 148
whether a 108 whether a 42
whether a 66 whether a 42
whether a 466 whether a 781
whether a 102 whether a 99
whether a 42 whether a 131
whether a 379 whether a 434
whether a 89 whether a 125
whether a 52 whether a 583
whether a 340 whether a 501
whether i 55 whether a 70
whether a 110 whether a 327
whether a 91 whether a 57
whether a 96 whether a 279
whether a 96 whether a 62
whether a 54 whether a 700
whether a 45 whether a 148
whether a 73 whether a 172
whether a 76 whether a 821
whether a 45 whether a 111
whether a 447 whether a 112
whether a 616 whether a 47
whether a 43 whether a 214
whether a 41 whether a 97
whether i 66 whilst a 125
whilst a 90 whites a 72
whither a 40 whoever a 58
whoever a 127 whoever a 57
wholly a 43 wicked a 70
widely a 45 widely a 42
wielding a 41 window a 42
window a 42 window i 41
window i 106 window a 64
window a 445 window a 52
window a 47 winter a 53
winter a 49 winter a 50
winter a 72 wisdom a 47
wished a 610 wished a 45
wished a 75 wished a 91
wished a 224 wished a 55
wished a 374 wished a 56
wished a 82 wished a 110
wished a 63 wishes a 92
wishes a 199 without a 40
without a 245 without i 54
without a 41 without a 218
without a 53 without a 104
without a 66 without a 142
without a 43 without a 77
without a 41 without a 57
wonder a 81 wonder a 156
wonder i 61 wonder a 128
wonder a 124 wonder a 279
wonder a 164 wonder a 68
wonder a 49 wonder a 213
wonder a 52 wonder a 1672
wonder a 83 wonder a 45
wonder a 92 wonder a 312
wonder a 181 wonder i 95
wonder a 41 wonder a 48
wonder a 157 wonder a 97
wonder a 71 wonder a 97
wonder i 68 wonder a 176
wonder a 43 worked a 56
worked i 63 worked a 45
worked a 56 worked a 115
worked a 56 worked i 57
worked a 47 worked a 116
worked a 45 worked a 50
worked a 300 worked a 89
worked a 115 worked a 158
worked a 364 worked a 1203
worked a 58 worked a 54
worked a 49 worked a 643
worked a 69 worked a 52
worked a 52 worked a 104
worked a 46 worked a 102
worked a 148 worked i 67
worked a 58 worked a 50
worked a 41 worked a 87
worked a 52 worked a 143
worked i 108 worked a 81
worker a 47 worker a 58
worker a 52 worker a 139
worker a 428 worker a 58
worker a 269 worker a 67
worker a 102 worker a 76
worker a 129 worker a 165
wormed a 70 wormed a 304
wormed a 49 wormed a 59
writer a 47 writer a 43
writer a 55 writer a 51
writer a 72 writer a 131
writer a 83 writer a 431
writer a 44 writer a 85
writer a 84 writer a 68
writer a 74 writer a 98
writer a 214 writer a 43
writer a 94 writer a 51
writer a 393 writer a 212
writer a 60 writer a 186
writer a 44 writer a 105
writer a 866 writer a 62
writer a 65 writer a 602
writer a 55 writes a 55
writes a 43 writings a 52
