vacant or when any such 154
vacuum of their own making 81
vacuum of your own most 93
vainly to cast his line 45
valley is wide and flat 75
valley is wide and open 63
valley of those who pass 51
valley to form his camp 68
valued as much for their 425
valued as much for what 46
valued at less than cost 125
valued at less than face 52
valued at less than five 381
valued at less than four 129
valued at less than half 409
valued at less than their 180
valued at less than three 65
valued at more than five 485
valued at more than four 224
valued at more than half 397
valued at more than their 169
valued at more than three 1079
valued at other than cost 61
valued at their real worth 40
valued at what they cost 73
valued by those who have 310
valued by those who knew 61
valued by those who know 207
valued by those who love 50
valued by those who take 53
valued by those who were 115
valued by those with whom 45
valued in part for their 45
valued so much for their 67
values as more and more 44
values at odds with their 51
values at odds with those 212
values at rest and during 124
values in line with those 77
values in your own life 54
values of cash and cash 52
values of corn and gold 47
values of gold and corn 54
values of good and evil 1930
values of hearth and home 191
values of home and hearth 124
values of land and other 54
values of length and width 262
values of less than five 136
values of less than zero 67
values of life and health 69
values of life and living 163
values of life and love 142
values of life and their 62
values of life had been 42
values of life that have 126
values of lift and drag 368
values of love and caring 131
values of love and life 116
values of love and peace 45
values of more and more 48
values of more than three 49
values of north and south 46
values of peace and love 153
values of rise and fall 47
values of their own time 118
values of these and other 268
values of these two sets 60
values of those for whom 58
values of those who have 411
values of those who hold 123
values of those who live 95
values of those who made 51
values of those who make 170
values of those who must 62
values of those who rule 47
values of those who were 101
values of those who will 98
values of those who work 114
values of those with whom 284
values of truth and love 123
values of what has been 102
values of what they knew 42
values of work and play 89
values of work and self 164
values to make them more 197
values to what had been 63
vanish at once and leave 63
vanity of making his heard 68
vanity of some has gone 116
vanity of those who have 105
vanity of those who rely 46
vanity of those who talk 59
vanity of those who think 83
vanity of those who were 42
vanity to mingle with these 89
vanity to shew her foot 62
vanity to show her foot 133
vanity to tell you what 82
variant of what has been 296
variant of what has come 82
varied by hill and dale 430
varied by more than five 87
varied by more than three 115
varied in flow than those 66
varied in form and size 238
varied in form than those 87
varied in length and were 68
varied in length and width 158
varied in size and form 276
varied in size and type 116
varied in size and were 300
varied in size but were 161
varied in their hue from 50
varied in type and size 131
varied in width and depth 53
varied in width and length 43
varied to suit each case 51
varies by more than five 48
