vent their discontent in loud 59
very clear appreciation of what 44
very clear description of what 211
very clear distinction is made 119
very clear explanation of what 85
very deep appreciation of your 45
very deep resentment of such 48
very early recognized the need 44
very fair description of what 77
very full description of these 49
very good description of many 54
very good description of their 43
very good description of these 131
very good description of what 523
very good explanation of what 50
very good impressions of your 69
very great advantages by their 40
very great appreciation of your 43
very great confidence in their 51
very great difference in meaning 42
very great difference in size 64
very great difference in their 567
very great difference in these 50
very great difference is made 40
very great difficulty in bringing 76
very great difficulty in coming 62
very great difficulty in dealing 66
very great difficulty in giving 59
very great difficulty in making 259
very great difficulty in moving 44
very great difficulty in seeing 41
very great difficulty in their 58
very great difficulty of making 53
very great difficulty to find 48
very great difficulty to make 88
very great importance in dealing 53
very great importance in making 42
very great importance in many 143
very great importance in their 74
very great importance in these 76
very great importance in view 71
very great importance of good 46
very great importance of having 61
very great importance of such 41
very great importance of these 171
very great importance of your 51
very great importance to have 151
very great importance to know 127
very great importance to make 119
very great importance to their 148
very great importance to these 139
very great importance to those 109
very great importance to what 122
very great importance to your 128
very great inequality in their 68
very great similarity in their 57
very great uniformity in their 42
very high appreciation of their 48
very high appreciation of your 71
very high compliment to those 83
very high likelihood of having 40
very high percentage of clay 43
very high percentage of deaths 50
very high percentage of high 89
very high percentage of iron 159
very high percentage of jews 42
very high percentage of land 70
very high percentage of such 116
very high percentage of their 646
very high percentage of these 623
very high percentage of those 519
very high percentage of what 56
very high percentage of whom 47
very high percentage of young 176
very high percentage of your 125
very high propensity to save 86
very high proportions of their 121
very high proportions of young 43
very high resistance to flow 73
very keen appreciation of their 42
very kind expressions in your 86
very kind expressions of your 86
very much accustomed to having 56
very much appreciated by many 43
very much appreciated by those 148
very much appreciated the fact 56
very much appreciated the help 45
very much astonished as well 43
very much astonished at hearing 132
very much astonished at seeing 267
very much astonished at such 93
very much astonished at their 69
very much astonished at what 171
very much astonished at your 73
very much astonished by what 67
very much astonished to find 1108
very much astonished to learn 132
very much astonished to meet 49
very much calculated to make 76
very much comparable to those 45
very much conditioned by their 63
very much conditioned by what 111
very much confidence or none 89
very much contribute to make 142
very much contribute to open 56
very much determined by their 128
very much determined by what 252
very much determined to look 47
very much difference in their 67
very much difference to john 52
very much diminished in size 418
very much diminished of late 55
very much disapprove of such 110
very much distressed by sore 52
very much distressed by these 84
very much distressed by your 47
very much distressed in mind 47
very much distressed to find 70
very much distressed to think 56
very much encouraged by what 61
very much encouraged by your 45
very much encouraged to find 77
very much frightened at what 108
very much frightened by what 41
very much frightened or very 63
very much heightened in those 112
very much importance to these 60
very much indisposed to give 54
very much influenced by ideas 42
very much influenced by other 80
very much influenced by some 40
very much influenced by such 238
very much influenced by their 799
very much influenced by these 259
very much influenced by those 126
very much influenced by vast 51
very much influenced by what 1396
very much influenced by your 86
very much influenced in their 150
very much information as well 50
very much instructed by what 43
very much interested by these 54
very much interested by what 137
very much interested by your 284
very much interested in boys 47
very much interested in bringing 71
very much interested in buying 105
very much interested in food 57
very much interested in giving 45
very much interested in good 48
very much interested in having 530
very much interested in hearing 1110
very much interested in india 59
very much interested in just 44
very much interested in life 102
very much interested in making 324
very much interested in miss 195
very much interested in other 83
very much interested in reading 1076
very much interested in seeing 820
very much interested in some 422
very much interested in such 359
very much interested in taking 79
very much interested in their 914
very much interested in these 809
very much interested in those 201
very much interested in trying 187
very much interested in what 5680
very much interested in young 71
very much interested in your 2617
very much interested of late 54
very much interested to find 203
very much interested to have 75
very much interested to know 772
very much interested to learn 253
very much interested to meet 58
very much obstructed by sand 51
very much penetration to find 48
very much pronounced of late 53
very much restricted in their 231
very much restricted in what 82
very much unresolved in what 44
very rare occurrence in these 97
very rare occurrence in those 75
very rare occurrence to find 176
very rare occurrence to meet 80
very rare phenomenon in these 41
very safe enterprise in such 89
very same observation is made 44
very same phenomenon in some 49
very same principles as those 76
very well calculated to give 49
very well calculated to make 87
very well understand in what 252
very well understand the word 86
very well understood by many 69
very well understood by means 96
very well understood by most 157
very well understood by those 84
very wide difference in their 47
vote your convictions by voting 51
