vain for 44 vain for 44
vary and 86 vary and 165
vase and 58 vase and 197
vast yet 46 vast they 75
vent say 58 verb with 57
very man 48 very man 162
very was 68 very and 77
very and 40 very day 83
very that 42 very was 42
very way 78 very who 152
very with 126 very who 54
very not 60 very that 60
very now 50 very got 49
very they 45 very out 240
very and 40 very and 123
very that 58 very with 43
very way 40 very him 41
very and 45 very out 117
very man 141 very man 48
very man 58 very they 81
very man 123 very set 42
very not 146 very all 65
very who 40 very not 177
very not 102 very not 126
very not 63 very her 47
very but 77 very its 62
very how 151 very say 52
very not 135 very and 74
very not 42 very and 74
very with 64 very all 50
very and 49 very for 43
very not 126 very all 73
very god 49 very she 63
very they 523 very this 43
very man 47 very they 50
very she 55 very they 68
very out 53 very that 159
very and 54 very hit 45
very they 91 very not 103
very man 61 very way 40
very way 65 very are 72
very long 57 very not 54
very his 47 very die 40
very this 93 very she 43
very things 49 very you 137
very one 96 very not 135
very not 97 very death 105
very off 95 very for 76
very for 40 very and 60
very him 71 very for 143
very are 64 very had 78
very they 101 very was 119
very out 161 very rid 45
very you 50 very who 306
very with 95 very how 40
very out 52 very and 61
very who 45 very out 51
very with 153 very they 63
very are 41 very that 50
very they 62 very man 42
view one 74 view and 111
view see 107 view see 155
voting men 278 voting and 618
voting was 184 voting with 43
