vacuum all bodies fall with 295
valley was little more than 46
valley was little other than 52
valued for reasons other than 159
valued for something other than 60
valued his family more than 42
valued his opinion more than 69
values and skills from one 41
values are always less than 192
values are becoming more and 51
values are chosen such that 415
values are little more than 62
values are passed from one 108
values are summed over all 91
values his writings most has 58
values may differ from one 189
values that differ from each 60
values that differ from one 162
values that result from this 96
valves are closed during this 66
valves are forced open and 179
valves are solely made and 51
valves are widely used for 45
varied but little from each 112
varied but little from one 41
varied but little from that 424
varied but little from year 96
varies but little from day 101
varies but little from one 196
varies but little from that 1543
varies but little from this 56
varies but little from year 514
varies with family size and 274
varies with sample size and 44
various and special care than 52
various and sundry other things 70
vented his spleen upon all 45
verbal and visual cues that 53
verily and indeed take and 64
verses are little more than 40
verses are verses made out 75
version goes something like this 163
version was little more than 43
vessel being forced from its 51
vessel being pushed ahead are 286
vessel has neither form nor 56
vessel was driven from her 65
vicious man should date his 60
victim hath poured forth his 56
viewed with something less than 94
viewed with something more than 75
violent and almost raving fit 91
violent death always brings with 71
virtue and energy over all 58
virtue and morals were out 42
visage was marred more than 432
visiting and spending time with 48
visits and cheering talk and 84
visual and verbal cues and 46
visual and verbal cues that 62
volley and rushed upon them 51
volley was poured into them 367
volley was poured upon them 134
volume was almost ready for 41
volume was little more than 41
volume was turned down low 83
vomiting and weight loss are 94
voyage that lasted more than 46
