vast distances separating them from 67
very carefully selected for their 59
very different approach has been 145
very different condition for making 50
very different purposes than those 106
very different reception they meet 108
very difficult problems that have 64
very encouraging progress has been 68
very existence probably had been 50
very expensive compared with other 52
very extensive commerce can take 55
very fortunate invention for these 56
very generally believed that there 81
very generally conceded that there 214
very generally supposed that some 141
very important progress has been 62
very important questions that need 57
very important services you have 58
very interesting approach has been 51
very interesting children who have 68
very naturally conclude that those 103
very naturally reversed our ideas 58
very reasonably rewarded for their 77
