vary affected 125 vary affected 43
vast occurred 107 vast imparted 49
very children 45 very daughter 51
very daughter 71 very attended 74
very suitable 47 very electron 56
very situation 42 very nobility 47
very services 48 very properly 53
very actually 40 very concrete 45
very definite 59 very original 129
very personal 51 very positive 99
very relevant 46 very probably 68
very eulogizing 64 very possibly 43
very assisted 49 very progress 226
very progress 282 very purchase 52
very reception 88 very progress 66
very accident 54 very operation 55
very intended 55 very constant 182
very frequent 55 very infinite 87
very vigorous 51 very withstand 46
very attained 51 very supposed 44
very children 138 very servants 107
very children 174 very vastness 54
very produced 41 very designed 44
very supposed 40 very employed 99
very essential 45 very students 82
very purposes 352 very servants 42
