vans were parked in front 41
vary from narrow to broad 64
vary from twelve to forty 58
vary from twelve to thirty 116
vary from twenty to fifty 173
vary from twenty to forty 244
vary from twenty to sixty 124
vary from twenty to thirty 280
vary from yellow to black 114
vary from yellow to brown 124
vary from yellow to green 43
vary from yellow to orange 206
vary from yellow to white 40
vast flat plains on either 98
vast flat tracts of glaring 42
vast open spaces in which 49
vast room seemed to stand 42
veil from before the scene 288
vein just before it joins 45
vein runs through the whole 40
very able manner in which 806
very able speech in favor 44
very able speech in which 44
very angry toward my mother 45
very best course of action 61
very best manual of minor 105
very best methods of teaching 43
very best passion of human 50
very case before the court 87
very clear manner in which 91
very core stands the right 43
very early allowing the edges 44
very early formed the habit 105
very early stages of acute 92
very early stages of child 106
very early stages of decay 51
very early stages of growth 409
very early stages of human 297
very early stages of labor 45
very early stages of learning 582
very early stages of social 94
very early thought it would 54
very even height of about 41
very eyes flowed the rhone 43
very fair amount of light 43
very fair chance of getting 91
very fast through the water 185
very fine bridge of boats 45
very fine letter of ample 126
very fine sheets of paper 50
very fine supply of thirty 83
very glad indeed to enter 59
very good chance he would 108
very good chance it would 64
very good chance of breaking 45
very good chance of finding 311
very good chance of gaining 72
very good chance of getting 1293
very good chance of hitting 63
very good chance of holding 40
very good chance of keeping 43
very good chance of landing 93
very good chance of meeting 46
very good chance of missing 43
very good chance of never 58
very good chance of passing 131
very good chance of reaching 123
very good chance of running 44
very good chance of staying 47
very good chance of turning 49
very good chance of winning 1910
very good chance of working 76
very good choice of words 68
very good friend of theirs 145
very good friend of yours 1130
very good judges of plays 97
very good opinion of benny 45
very good opinion of frank 109
very good reasons to avoid 60
very good reasons to doubt 95
very good school in which 40
very good signal to noise 117
very good source of fiber 61
very good supply of water 67
very good thought of yours 103
very great amount of labor 131
very great amount of money 186
very great amount of power 59
very great amount of study 97
very great amount of water 153
very great degree of moral 51
very great degree of power 77
very great degree the power 45
very great degree to which 54
very great esteem in which 62
very great extent to which 504
very great friend of yours 104
very great number of atoms 71
very great number of birds 55
very great number of books 206
very great number of cases 1261
very great number of cells 79
very great number of darts 48
very great number of equal 43
very great number of facts 117
very great number of forms 59
very great number of idols 45
very great number of large 86
very great number of lines 82
very great number of local 45
very great number of miles 64
very great number of names 51
very great number of others 167
very great number of parts 57
very great number of peers 58
very great number of people 1510
very great number of ships 127
very great number of sides 50
very great number of small 941
very great number of springs 40
very great number of stars 62
very great number of times 444
very great number of trials 120
very great number of turns 66
very great number of types 55
very great number of views 82
very great number of women 182
very great number of words 174
very great number of works 100
very great number of worthy 121
very great outlay of money 46
very great portion of lands 64
very great weight in forming 57
very great writer or author 42
very hair seemed to stand 68
very hard battle to fight 83
very hard indeed in order 57
very hard indeed to avoid 41
very hard indeed to please 47
very hard letter to write 48
very hard matter to guess 60
very hard pushed he would 40
very heart seemed to stand 116
very heavy burden of proof 468
very heavy burden of proving 53
very heavy burden to carry 118
very high burden of proof 211
very high chance of getting 49
very high degree of beauty 95
very high degree of class 41
very high degree of cross 146
very high degree of doubt 84
very high degree of inter 65
very high degree of local 146
very high degree of merit 376
very high degree of moral 293
very high degree of order 220
very high degree of party 90
very high degree of pathos 86
very high degree of power 272
very high degree of proof 56
very high degree of skill 1235
very high degree of social 512
very high degree of state 44
very high degree of trust 133
very high degree of unity 117
very high degree of value 64
very high degree of vigor 42
very high degree of water 46
very high degree the power 199
very high degree to which 126
very high esteem in which 560
very high flight of steps 66
very high levels in order 59
very high levels of blood 483
very high levels of crime 62
very high levels of growth 115
very high levels of human 175
very high levels of labor 43
very high levels of light 64
very high levels of local 54
very high levels of noise 114
very high levels of party 123
very high levels of power 160
