valued elms descend into the 166
values were deduced from the 119
values were deleted from the 51
values were derived from an 40
values were derived from the 1955
values were entered into the 136
values were measured during the 55
values were measured from the 97
values were omitted from the 80
values were removed from the 73
valves were removed from the 49
varied from intense blue to 73
varied from several days to 104
varies from fifteen days to 90
varies from several days to 476
varies from several tens of 160
varies from several tens to 99
various data sources such as 58
various dull suppers even in 66
various fine editions from my 57
various moving objects upon the 52
various other aspects such as 161
various other devices such as 65
various other diseases such as 90
various other factors must be 111
various other factors such as 1167
various other features such as 64
various other letters from the 45
various other matters such as 61
various other measures such as 49
various other objects made of 41
various other sources such as 139
various other species such as 42
various other tissues such as 42
various risk factors such as 97
various ruin dropped from the 81
various side effects such as 70
various skin diseases such as 101
various ways depending upon the 596
vastly more suffering among the 75
verbal noun derived from the 142
verses were written during the 40
verses were written upon the 64
vessel also emerges from the 40
victim have started from the 56
violating some general rule of 147
violent tone assumed here by 50
virtue have endured four or 75
visiting sick persons like my 44
voiced deep concern over the 56
voiced great concern over the 41
voiced some concern over the 57
voiced their concern over the 445
voices were audible from the 61
volume brings together many of 73
volume brings together some of 290
volume used depending upon the 50
volume were written during the 177
volume were written over the 65
voters were removed from the 180
