vast territory from louisiana to 70
very admirable theory respecting the 116
very different from attempting to 80
very different from children in 75
very different from cognition by 44
very different from hundreds of 45
very different from politics in 43
very different from thousands of 61
very different ideas concerning the 81
very different ideas fastened to 45
very different when compared to 136
very difficult task properly to 50
very difficult time convincing the 42
very efficient when compared to 45
very expensive when compared to 144
very generally been admitted as 143
very generally been disposed to 50
very generally been regarded as 158
very generally been supposed to 48
very generally form colonies in 62
very important fact concerning the 106
very important when attempting to 131
very important when compared to 53
very important when discussing the 55
very important when evaluating the 68
very interesting book entitled the 41
very interesting case occurred in 48
very interesting case recorded by 50
very interesting case reported by 119
very interesting data concerning the 92
very reasonable when compared to 69
very reasonably have expected of 89
