veer in a different direction 137
vent to a wonderful imitation 66
view is a necessary condition 46
view of a diagnostic approach 136
view of a newspaper reporter 43
view of a political situation 121
view of a relational database 56
view of a stationary observer 253
view to a different insertion 59
view to a universal diffusion 78
vote by a qualified majority 54
vote of a committee consisting 129
vote of a qualified majority 54
vote of a victorious majority 128
vote on a resolution authorizing 111
vote on a resolution concerning 40
vote on a resolution condemning 120
voting by a qualified majority 93
voting on a resolution condemning 114
