vague belief in tales of 50
vague charge of abuse of 41
vague enough to admit of 76
vague enough to allow the 138
vague enough to appeal to 66
vague enough to apply to 100
vague future in which the 56
vague manner in which he 72
vague manner in which it 51
vague manner in which the 324
valid ground on which the 51
valid ground on which to 105
valid measure of change in 43
valid notice of appeal is 146
valid reasons in favor of 48
valid should the wedding be 55
valid theories on which the 51
valid unless it could be 61
valid unless it shall be 493
value before it could be 44
value before or after the 62
value before the onset of 61
value before the start of 74
value before the throne of 73
value beyond the power of 50
value beyond the scope of 51
value beyond the value of 161
value chains in order to 46
value creation in terms of 113
value creation is based on 94
value equals the value of 313
value except as showing the 58
value except in cases of 80
value except in terms of 318
value greater or equal to 335
value placed on women in 69
value should be added to 514
value should be based on 985
value should be borne in 43
value should be close to 366
value should be equal to 585
value should be fixed as 151
value should be fixed at 56
value should be fixed by 42
value should be found by 57
value should be found in 44
value should be found to 43
value should be given by 44
value should be given in 80
value should be given the 48
value should be given to 928
value should be shown as 88
value should be shown in 75
value should be shown on 50
value should be taken as 834
value should be taken at 79
value should be taken in 60
value should be taken to 109
value should be within the 73
value should we place on 222
value solely in terms of 148
value stable in terms of 43
value stated in terms of 103
value struck me again so 65
value system by which he 55
value system by which the 106
value system by which to 89
value system by which we 128
value system in favor of 67
value system in order to 831
value system in terms of 555
value system in which he 63
value system in which it 173
value system in which the 1025
value system in which to 62
value system in which we 83
value system is based on 755
value system of people in 44
value system on which it 63
value system on which the 411
value system on which to 98
value system to which he 90
value system to which the 114
value through the action of 63
value through the growth of 57
value unless it could be 402
value unless the child is 53
value without the right to 53
valve allows the blood to 44
valve allows the water to 63
valve causes the valve to 42
valve design is shown in 98
valve handle is moved to 215
valve instead of closing it 92
valve opened to allow the 44
valve should be equal to 50
valve should be sized to 47
vapor tension is equal to 59
vapor tension of water at 374
vapor tension of water in 95
vapor tension of water is 144
vapor through the pores of 104
varying amount of water in 59
varying amount of water is 40
varying amount of water of 80
varying degree in which the 60
varying degree to which the 168
varying extent to which it 41
varying extent to which the 620
varying greatly in terms of 48
varying levels of skill in 75
varying manner in which the 159
varying methods by which the 53
varying number of hours of 46
varying number of lines of 59
varying number of pairs of 55
varying periods in order to 77
varying senses in which the 47
varying shades of brown or 85
varying shades of brown to 85
varying shades of color in 41
varying shades of green in 83
varying shades of green or 73
varying shades of green to 52
varying speeds at which the 126
varying widely in terms of 72
veins flowed the blood of 2251
veins return the blood to 354
verse appears to refer to 60
verse before he spoke in 47
verse should be taken as 99
verse should be taken in 45
viable course of action in 47
viable course of action is 51
viable course of action to 42
viewing screen in front of 51
viewing through the rails the 88
views across the river to 242
views across the thames to 41
views across the water to 400
views became the basis of 57
views before the house of 46
views before the start of 74
views beyond the words in 50
views formed the basis of 103
views itself in terms of 42
views reality in terms of 100
views should be based on 51
views should be given to 90
views should be taken as 128
views should be taken in 96
views should be taken of 87
views should be taken to 120
views through the trees of 106
views through the trees to 61
views touching the issue of 98
vigil before the altar of 89
vigor enough to carry it 47
viral disease in which the 68
virus disease in which the 43
vision became the basis of 42
vision beyond the event of 57
vision beyond the scope of 42
vision seemed to enter the 195
vision should be based on 72
vision system in which the 40
vision system is based on 53
vision system is shown in 187
vision through the power of 42
visit berlin in order to 122
visit ceylon to study the 42
visit england in order to 370
visit europe in order to 110
visit france in order to 81
visit london in order to 109
visit marked the start of 43
visit moscow in order to 153
visit should be spent in 105
visit sister as often as 81
vista before me seems to 40
vital breeze or light of 49
vital center of action in 144
vital energy in order to 55
vital energy the power to 136
vital factor in helping to 52
vital factor in keeping the 46
vital factor in shaping the 116
vital factor in winning the 92
vital issues at stake in 107
vital issues on which the 94
vital moment in which to 90
vital organs in order to 95
vital points at which the 45
vital points on which the 68
vital without the league of 78
vivid detail the story of 62
vivid enough to brave no 44
vivid manner in which he 94
vivid manner in which it 48
vivid manner in which the 212
vivid memory of sitting in 82
vocal organs in order to 96
voice across the table to 119
voice became the voice of 183
voice beyond the light of 170
voice cheering the people on 41
voice inside me telling me 67
voice inside me tells me 52
voice instead of raising it 65
voice raised in favor of 136
voice raised in tones of 43
voice raised the hairs on 41
voice reached the close of 160
voice robbed the words of 47
voice seemed as sweet as 44
voice seemed to belong to 233
voice seemed to breathe the 45
voice seemed to catch in 163
voice seemed to change to 41
voice seemed to float in 47
voice seemed to shake the 160
voice seemed to sound in 120
voice seemed to stick in 88
voice should be given to 87
voice showed no signs of 60
voice showed no trace of 88
voice sounding as though he 43
voice sounding as though it 238
voice sounds as though he 40
voice sounds as though it 98
voice through the folds of 56
voice through the power of 45
voice uttering the words as 43
voted before the close of 66
voted heavily in favor of 345
votes enough to carry it 140
votes enough to carry the 171
votes enough to defeat the 194
votes enough to spare to 43
votes needed to defeat the 43
votes needed to elect the 49
votes passed in times of 69
votes polled in favor of 57
votes relating to money the 58
votes should be based on 79
votes should be given by 145
votes should be given in 166
votes should be given to 291
votes should be taken at 45
votes should be taken by 350
votes should be taken in 84
votes should be taken on 81
votes turned the scale in 43
vowel before or after it 56
vowel sounds in order to 115
vowel sounds in terms of 43
