vary wide 42 verb noun 42
very told 40 very have 78
very great 80 very slow 69
very last 44 very part 48
very good 47 very role 87
very single 65 very used 89
very mile 44 very wide 143
very heard 70 very sent 45
very loud 68 very great 77
very peace 52 very young 46
very felt 122 very have 124
very heard 67 very most 82
very speak 59 very wish 53
very heard 64 very said 61
very tell 56 very told 334
very seen 67 very throng 49
very work 62 very came 49
very vein 61 very very 42
very wide 106 very came 51
very been 43 very have 49
