yanking herself free 44
yards because there 51
yards between high 83
yards between rows 44
yards between their 187
yards between these 52
yards brought down 61
yards brought smith 42
yards carried away 135
yards depending upon 44
yards distant along 45
yards distant down 44
yards distant from 42494
yards distant only 40
yards distant there 206
yards distant upon 45
yards distant were 175
yards distant when 389
yards easterly from 48
yards eastward from 151
yards extending along 44
yards extending from 41
yards forward from 109
yards forward into 81
yards inshore from 55
yards lowered down 41
yards measured from 82
yards northeast from 87
yards outside their 132
yards outside town 41
yards outward from 45
yards perhaps from 46
yards removed from 851
yards southeast from 83
yards together along 42
yards towards cobb 42
yards towards their 59
yards upriver from 184
yards upstream from 1897
yards usually have 41
yarns require more 103
yarns twisted into 65
yarns usually have 65
yawning dragons draw 47
yawning orifice into 43
yawns between such 56
yawns between their 161
yawns between these 337
yawns between those 126
yawns between what 322
yearling females were 161
yearling heifers were 244
yearly amounts were 50
yearly annuity from 47
yearly attacks upon 50
yearly average cost 299
yearly average data 106
yearly average during 259
yearly average fell 60
yearly average flow 109
yearly average from 253
yearly average loss 58
yearly average over 283
yearly average rate 1219
yearly average rose 93
yearly average wage 364
yearly average will 45
yearly average wind 327
yearly becomes more 892
yearly brought down 284
yearly brought from 123
yearly brought into 306
yearly budgets were 52
yearly capital cost 122
yearly caravan from 55
yearly carried away 70
yearly carried into 41
yearly courier from 65
yearly depending upon 48
yearly derived from 145
yearly descent from 72
yearly divided among 140
yearly donation from 44
yearly dropout rate 44
yearly ejected from 172
yearly exchange rate 90
yearly exports from 124
yearly exports were 96
yearly failure rate 51
yearly figures from 79
yearly figures show 66
yearly figures were 130
yearly harvest from 40
yearly holiday came 62
yearly imports from 85
yearly imports into 52
yearly imports were 43
yearly incomes from 131
yearly incomes less 60
yearly incomes over 103
yearly incomes ranging 69
yearly incomes were 122
yearly increase during 114
yearly increase from 219
yearly increase over 99
yearly increase rate 168
yearly increase will 101
yearly increasing army 95
yearly increasing their 197
yearly journey from 98
yearly license fees 106
yearly license from 44
yearly marketing plan 52
yearly maximum load 75
yearly medical bill 48
yearly minimum wage 108
yearly operating cost 1915
yearly operating time 102
yearly payment during 49
yearly payment from 229
yearly payment made 90
yearly payment will 114
yearly pensions from 41
yearly pensions were 49
yearly premium paid 48
yearly premium will 52
yearly present from 88
yearly produce from 69
yearly profits from 208
yearly profits were 158
yearly profits will 82
yearly publish their 129
yearly radiation dose 78
yearly receiving more 216
yearly records were 66
yearly recruit from 73
yearly removed from 55
yearly renewed their 43
yearly reports from 376
