samples than 50 satisfy are 63
satisfy own 73 scanter who 60
schools for 48 science are 40
searched and 65 segment and 88
selfish men 75 servant that 88
servant his 52 service with 110
service its 67 service you 45
service you 43 service for 44
several not 55 several how 104
several that 111 several them 46
several out 47 several being 59
several was 93 several are 83
several was 148 several men 110
several was 44 several had 170
several men 48 several not 64
several not 55 several not 47
several not 44 shields and 55
shocked him 42 shorter with 84
sickest see 46 similar for 201
similar for 200 similar for 451
similar with 99 similar put 231
similar and 57 similar for 65
similar with 50 similar not 61
similar not 73 similar with 128
similar for 48 similar for 101
similar not 96 similar with 75
similar own 60 similar put 55
similar put 75 similar for 72
similar for 51 similar for 800
similar with 58 similar for 55
similar for 63 similar not 68
sixteen than 68 slavery than 54
slender its 58 smaller using 116
smaller who 133 smaller with 55
smokers who 66 socially who 44
society who 42 society are 40
solution than 485 solution than 864
solution than 71 solution than 302
solution with 42 sounder who 55
sources than 80 sources are 146
sources than 56 sources are 171
sources was 243 species than 45
species and 43 species area 79
stature was 48 statute any 42
statute for 52 steadily than 59
steered head 115 stomach and 45
stomach and 46 stopped out 40
stopped was 118 stopped was 86
stopped doing 1553 stopped doing 41
storage than 40 storage area 109
storage with 87 stoutly was 73
stoutly has 43 straits seas 181
strikes one 53 stronger than 83
stronger than 41 stronger two 56
stronger that 42 stronger had 49
strongly was 170 strongly and 40
strongly who 225 strongly own 69
strongly are 88 strongly was 44
strongly was 55 strongly that 219
strongly than 73 strongly one 103
strongly are 834 strongly can 41
strongly has 128 strongly may 223
strongly was 700 strongly are 183
strongly two 175 strongly who 103
studied his 99 studied than 58
studies are 90 studies than 56
studies are 60 studies that 150
studies are 58 studies one 41
studies than 397 studies than 504
studies one 131 studies are 2201
studies has 178 studies may 681
studies was 154 studies are 102
studies two 142 studies who 235
studies with 109 studies few 71
studies are 64 studies led 44
studies was 53 studies are 41
studies are 165 studies may 78
studious him 115 subject them 41
subsidy may 60 summary not 51
summary that 434 summary was 49
sunrise for 62 superior him 53
support that 98 support who 276
support with 117 support his 44
supreme men 46 supreme and 86
supreme any 40 supreme who 153
surface area 127 surface and 51
surface with 63 surgery who 73
surveys than 108 surveys than 307
surveys are 192 surveys has 60
surviving for 66 suspend for 88
swallow you 47 sympathy who 184
sympathy her 131 systems are 73
