pace nearly double in speed 51
page breaks before or after 119
paid either before or after 120
pain vents itself in either 40
pain which drives to action 69
pale hands across thy chest 56
pale light pursue the stars 139
pale light seemed to shine 88
part either before or after 58
part either broken or breaking 110
part lamps enough to light 213
part thereof engaged in trade 441
part which belongs to every 67
part which enters the water 44
part which should be taken 60
part which washes the coast 42
pass about through the world 59
pass easily through the blood 114
pass easily through the pores 124
pass easily through the walls 97
pass equal spaces in every 112
pass first through the hands 86
pass first through the liver 41
pass months scanning the empty 46
pass quite through the breadth 109
pass right through the glass 90
pass right through the house 117
pass right through the skull 199
pass right through the walls 51
past forty before he began 66
paths never seemed to cross 54
peace talks opened in paris 96
peace treaty should be based 45
peace treaty signed at ghent 76
peace treaty signed at paris 183
peace treaty signed in march 76
peace treaty signed in paris 298
peace treaty signed on march 44
peace which seemed to breathe 46
peace would enable the people 70
peaks which seemed to touch 45
pest which lurked in every 134
pine trees across the sweet 61
pine trees behind the house 122
pine woods behind the house 44
pity which arises on sight 41
plan running through the whole 144
plan which became the basis 111
plan which formed the basis 83
plan which plunges the nation 55
plan which seemed to offer 76
play chess without the queen 84
play every minute of every 127
poems which turned on human 50
pole which reaches the cloud 46
pole which repels an equal 57
poor blood enters the right 102
poor bosom bleeding at every 40
poor human nature in words 131
poor human nature so sorry 113
poor irish tenant is liable 40
poor people across the world 48
poor people around the globe 46
poor people around the world 1570
poor people should be given 105
poor track record in terms 58
poor women around the world 102
poor would engross the whole 123
port under stress of weather 107
pump blood through the blood 144
pump blood through the veins 40
pump which drives the blood 60
pump which forces the water 64
pump which raises the water 64
pure water should be added 89
pure water should be drunk 87
pure water should be given 96
pure water should be taken 45
pure white marble in which 52
