painful task even for the 67
painted blue from head to 44
painted from life with the 45
painted some years ago by 50
painter must know how to 78
paintings have been hung in 48
paintings were done for the 53
paintings were made for the 100
paneled dining room and the 44
parents ever take you to 54
parents from owning this to 60
parents from whom all the 54
parents have been led to 194
parents have dealt with the 58
parents have died and the 52
parents have done for me 70
parents have done for us 87
parents have gone off to 54
parents have gone out to 52
parents have only one or 45
parents have said that the 46
parents have sent him to 62
parents have sent them to 69
parents have told him to 51
parents have told them to 57
parents made sure that he 55
parents made sure that the 42
parents made sure that we 49
parents made their way to 106
parents make sure that the 52
parents much more than the 48
parents must cope with the 91
parents must have had the 53
parents must have had to 47
parents must know how to 50
parents must learn how to 183
parents sent their son to 53
parents take care that the 49
parents took care not to 40
parents took their son to 62
parents upon their eating the 74
parents want their son to 70
parents went along with the 67
parents went away for the 90
parents were angry with me 52
parents were away and he 44
parents were away and the 41
parents were away for the 461
parents were busy with the 60
parents were gone and he 40
parents were gone for the 174
parents were living with the 64
parents were more apt to 117
parents were paying for the 76
parents were poor and he 197
parents were rich and he 49
parents were sure that the 49
parents were taking her to 61
parents were taking him to 47
parents were there and so 40
parents were there for me 78
parents were told not to 147
parents were told that he 270
parents were told that if 92
parents were told that it 105
parents were told that the 471
parents were urging her to 51
parents were urging him to 41
parents will dine with me 65
parents will feel that the 42
parents will find that the 68
parents will give her to 107
parents will give her up 40
parents will help you to 52
parents will know how to 68
parents will learn how to 86
parents will want them to 44
parents will want you to 59
partied like there was no 43
parties came into being as 149
parties came into being in 162
parties from dealing with the 62
parties from making use of 51
parties have been led by 80
parties have been led to 62
parties have been set up 189
parties have dealt with it 127
parties have dealt with the 98
parties have gone out of 45
parties have made use of 142
parties have seen fit to 129
parties made their way to 175
parties making their way to 43
parties must feel that the 43
parties must file with the 83
parties must have had in 182
parties must have had the 44
parties must show that the 66
parties went from bad to 89
parties were eager for the 62
parties were held for the 164
parties were held not to 58
parties were made for the 78
parties were over and the 42
parties were ready for the 65
parties were sent off to 97
parties were sent out as 47
parties were sent out at 87
parties were sent out by 296
parties were sent out in 1223
parties were sent out of 73
parties were sent out on 177
parties were sent out to 2613
parties were soon near to 42
parties were such that the 58
parties were told off to 166
parties will make use of 59
partner acting other than in 114
passage deals only with the 55
passage from book iii of 51
passage from book vii of 40
passage from some one of 51
passage from what was to 186
passage into line with the 56
passage leading from one of 46
passage leading from one to 102
passage will show that it 91
passage will show that the 110
passions have their seat in 98
passions will ever put us 48
passions will rock thee as 165
patient care will not be 145
patient dies worn out by 76
patient lies down and is 53
patient lies down and the 122
patient lies down with the 123
patient much more than the 46
patient must cope with the 40
patient must fast for at 66
patient must feel that he 107
patient must feel that the 147
patient must have had an 52
patient must have had at 62
patient must have one of 82
patient must know how to 148
patient must know that he 81
patient must know that the 117
patient must learn how to 253
patient must learn not to 40
patient must show that the 110
patient sees nothing and the 94
patient when dealing with the 50
patient will come out of 62
patient will feel that he 144
patient will feel that the 124
patient will find his or 74
patient will find that he 75
patient will find that the 59
patient will have all the 59
patient will have had the 55
patient will have his or 59
patient will have one or 42
patient will know that the 42
patient will learn how to 69
patient will tell you it 50
patient will vary with the 126
patrols were sent out as 51
patrols were sent out at 84
patrols were sent out by 111
patrols were sent out in 242
patrols were sent out on 129
patrols were sent out to 997
pattern also held for the 48
pattern fits well with the 112
pattern held true for the 211
pattern laid down for the 78
pattern more like that of 262
pattern much like that in 48
pattern much like that of 350
pattern over time for the 44
pattern very like that of 82
pattern will help you to 70
pattern will vary with the 103
payment will come out of 43
payment will vary with the 42
peasants made their way to 73
peasants were left with no 53
peasants were left with the 41
peasants were told that the 101
peculiar good luck that we 45
peculiar odor like that of 68
penalty upon those who do 42
penance laid upon him by 66
pencils were used for the 62
