papers i 49 pardon i 99
parent a 49 partly i 62
partly i 46 passed i 51
paused a 144 paused a 95
peoples i 53 permit a 59
permit a 60 permit a 56
permit a 160 permit a 119
permit a 91 permit a 55
permit a 269 permit a 41
permit a 50 permit a 131
permit a 45 permit a 155
permit a 153 permit a 55
permit a 76 permit a 48
permit a 285 permit a 48
permit a 94 permit a 41
permit a 131 permit a 49
permit a 90 person a 41
person a 55 person a 105
person a 64 person a 193
person a 47 person a 87
person a 50 person a 129
person a 150 person a 225
phases i 57 phases i 52
picked i 166 picked i 82
picked i 196 pieces a 77
pissed i 171 placed a 341
placed a 51 placed a 202
placed a 68 placed a 43
placed a 278 placed a 81
placed a 94 placed a 41
placed a 60 placed a 55
placed a 91 placed a 57
placed a 349 placed a 86
placed a 60 placed a 411
placed a 91 placed a 149
placed b 46 placed c 357
placed i 188 placed a 51
placed a 78 placed a 47
places a 93 planning a 147
planning a 625 planning a 77
planning a 213 planning a 595
plants a 48 pleased i 46
pleased a 200 points z 53
points a 169 points i 77
points f 130 points s 74
points s 232 police i 68
policy a 364 policy a 61
policy a 210 policy a 115
policy a 42 policy a 81
policy a 72 policy a 125
policy a 116 policy a 703
policy a 52 policy i 59
policy a 110 portion i 42
portion i 53 portion i 58
portion a 92 portion i 183
portion i 51 portion i 51
portion a 44 portion a 124
portion i 137 portion a 69
portion s 42 portion a 52
portion b 94 posted a 42
powers x 58 prayed a 81
preaching a 95 prices a 120
prince i 49 propping a 70
proved a 72 proved i 54
proved a 921 proves a 111
proves a 83 public a 53
purify a 70 purses a 74
pursue a 48 pushed a 148
pushed a 58 pushed a 50
