physical property p such that 191
platform included a call for 84
positive constant a such that 127
positive constant c such that 702
positive constant k such that 281
positive constant m such that 138
positive integers n such that 101
practice involves a great deal 50
practice requires a great deal 96
probably contains a good deal 117
probably contains a great deal 45
probably explains a good deal 164
probably explains a great deal 49
probably indulges a hope that 81
probably received a good deal 55
probably received a great deal 44
probably requires a good deal 94
probably suffered a great deal 66
problems indicate a need for 49
problems requires a great deal 90
processing requires a great deal 40
produced depended a good deal 58
programs requires a great deal 47
projects required a great deal 48
promptly reported a bill for 40
properly requires a great deal 121
property contains a string that 84
proposal received a great deal 43
provision contains a clear and 79
