paces behind our first line 201
panes licked its tongue into 304
panic prices far below their 93
paper plates and paper cups 132
paper sticks you right into 65
paper towels and serve warm 137
paper whereof did smell most 41
paper whether they would fade 48
parting salute was fired from 43
parts stores are often very 71
party itself was split into 48
party spirit was running high 188
party system has never been 45
party through his whole life 121
party without him would have 64
passing through his hands during 49
passing through his hands into 60
passing through its whole length 65
passing through that point will 48
passing through them aside from 134
passing through this point will 110
passing through this region will 56
peanut butter and carob chip 186
peanut butter and jelly from 120
peanut butter and jelly jars 130
peanut butter and jelly will 99
penis before any semen leaks 95
penny better than queen mary 51
people around him still wore 49
people around him would have 51
people around who could have 48
people around who could help 53
people around who would like 52
people before and after their 117
people before they could come 49
people before they could have 54
people better off while making 46
people called him robin hood 59
people crouch all night over 45
people forgot all about their 46
people should not allow their 54
people should not change their 48
people should not enter into 41
people should not ladle beer 82
people should not still miss 49
people should not waste their 90
people thought and still think 49
people thought she might have 124
people thought that women were 45
people thought they could make 63
people thought they could take 42
people thought they might have 50
people thought they would have 110
people waited with bated breath 54
people watching his every move 47
people whether they would have 88
people whether they would like 129
period before and after birth 66
period before and after their 54
period before any words were 66
period earlier than could have 126
petty despot who ruled over 125
phase changes that occur during 154
phase changes that occur when 93
piece loaded with small shot 66
pilot guides his steady helm 72
pitying maiden had wiped away 84
place before you begin your 40
place beyond that flaming hill 100
place without any edict from 76
placing counts and dukes along 48
plane around and headed back 67
playing guitar and writing songs 109
playing truant and running away 250
please accept this small gift 41
pleasing shadow was thrown over 57
point better than anything else 109
point system that takes into 60
point whence they could have 40
poles sticking out above many 47
polls showed that people were 56
polls showed that women were 42
power cables has never been 65
power factor and phase angle 75
power little and money less 84
power output per cubic inch 46
power reached its zenith during 72
power supply that plugs into 49
price adorning his bared neck 50
price beyond that flowing from 40
price changes are taken into 141
price higher than would have 88
price levels are taken into 42
prize master and prize crew 42
prove better than anything else 121
pulse energy and pulse width 53
pulse should beat under such 42
