pan lump 80 pan hive 46
pat clean 650 pat cloth 155
pat soft 149 pat wild 47
path knot 54 pay good 78
pay half 1340 pay have 293
pay month 87 pay half 1676
pay have 45 pay full 63
pay week 69 pay kick 45
pay shot 45 pen will 48
pen more 206 per five 320
per four 212 per full 112
per male 138 per month 991
per room 169 per single 694
per stay 47 per three 146
per time 165 per week 754
per good 83 per loss 43
per range 124 per single 72
per half 143 per fair 70
per half 149 per high 63
per rate 40 per five 418
per four 250 per full 176
per single 895 per term 106
per three 251 per years 540
per years 106 per four 81
per high 52 per range 111
pig clear 43 plea date 51
poet mere 52 poet very 57
poet more 42 poet time 58
poet good 45 poet high 40
poet great 50 pot tail 167
put have 77 put will 72
put time 87 put week 94
put third 70 put month 647
put more 287 put single 131
put time 2211 put very 49
put week 710 put bare 48
put jest 50 put mere 169
put single 44 put half 316
put kiss 117 put time 55
put fire 56 put view 59
put time 55 put have 40
put half 328 put slip 42
