parents know 52 parents want 110
passage help 41 pattern seen 46
peaceful want 51 percent more 176
percent will 89 percent five 413
percent four 86 percent more 175
percent most 50 percent over 44
percent some 51 percent three 287
percent been 48 perhaps eager 41
perhaps early 112 perhaps fast 47
perhaps hard 151 perhaps high 49
perhaps late 63 perhaps much 1840
perhaps well 102 perhaps help 53
perhaps come 68 perhaps over 254
perhaps from 74 perhaps ones 52
perhaps cent 234 perhaps many 154
perhaps were 45 perhaps hard 60
perhaps from 70 perhaps more 60
perhaps pigs 57 perhaps much 95
perhaps away 64 perhaps some 137
perhaps even 43 perhaps fill 53
perhaps find 57 perhaps give 44
perhaps care 194 perhaps even 130
perhaps feel 114 perhaps give 74
perhaps have 320 perhaps know 476
perhaps like 236 perhaps look 63
perhaps love 60 perhaps make 324
perhaps need 80 perhaps speak 42
perhaps tell 114 perhaps think 192
perhaps want 428 perhaps wish 49
perhaps been 448 perhaps done 78
perhaps heard 98 perhaps made 72
perhaps seen 69 perhaps much 101
perhaps have 243 perhaps stay 54
perhaps many 69 perhaps more 101
perhaps most 59 perhaps there 60
perhaps clear 109 perhaps even 121
perhaps good 60 perhaps meant 66
perhaps ready 68 perhaps such 48
perhaps very 332 perhaps much 320
perhaps young 187 persons know 255
persons seen 45 persons those 49
picture like 144 picture want 58
picture seen 72 planned more 45
planted kiss 169 pleasure have 88
pleasure fine 76 pleasure name 40
plucked from 40 position hold 43
position want 59 position into 43
prepare life 43 prepare such 43
prepare work 46 prepare their 235
prepare your 62 prepare will 40
prepare more 225 prepare much 149
prepare their 101 prepare your 41
preparing their 52 preparing your 45
preparing more 83 preparing their 40
present some 42 present from 183
present clean 84 present tidy 84
present more 453 present very 103
present nothing 40 present even 156
present face 48 present find 332
present give 211 present help 405
present hope 49 present leave 67
present make 96 present send 51
present tell 408 present think 542
present well 67 present nothing 309
present nothing 109 present have 86
present know 111 present much 110
pressed hard 43 presume know 40
pretend care 626 pretend even 52
pretend feel 89 pretend have 135
pretend know 1041 pretend like 118
pretend mind 47 pretend want 102
pretend been 86 pretend heard 375
pretend seen 319 pretend home 81
pretend there 884 prevent from 55
prevent from 59 prevent more 46
prevent much 124 printed tell 53
problem have 73 problem know 104
problem want 51 problem when 52
produce much 54 produce will 66
produce will 190 produce more 364
produce heir 344 produce will 73
produce tell 55 producing more 226
producing heir 98 profess help 45
profess none 105 project from 44
promise keep 225 promise make 69
promise keep 253 promise know 53
promote more 211 promoting ever 42
propose more 99 proposing more 73
protein bind 40 protest much 157
protest have 81 protest tell 43
protest nothing 111 protest know 124
provide self 246 provide those 54
provide more 1072 provide much 44
provide very 70 provide heir 68
provide part 67 provide many 52
provide other 51 provide some 55
provide their 88 provide these 82
provide those 142 provide young 58
provide your 224 provide from 117
providing more 162 provoke great 204
punishing living 59 punishing what 124
purpose tell 237 purpose know 153
purpose learn 52 purpose make 44
purpose from 44 purpose sent 50
pursued more 727 pursued know 103
