packet ships between new york 54
panted after torment and pain 130
parent after divorce has some 41
passed eight islands and three 44
passion which renders his want 47
pelvic floor muscles and their 46
pension plans provide for some 63
peoples whose culture has been 46
peoples whose history has been 40
person might possess one part 83
person shall operate any such 81
person shall receive any part 51
person whose behavior has been 75
person whose conduct can only 99
person whose conduct has been 108
person whose consent has been 48
person whose election has been 52
person whose expense had been 91
person whose liberty has been 59
person whose license has been 608
person whose marriage has been 277
person whose marriage with such 149
person whose privacy has been 130
person whose profile may have 43
person would suggest that these 56
phrase which borders too much 51
piercing scream escaped her lips 115
pitted people against each other 114
pitted women against each other 48
placed close together with their 97
places about plymouth and cape 51
places thrust against each other 43
places where animals are kept 126
places where battles had been 100
places where everything has been 50
places where history has been 41
places where history was made 261
places where liberty has been 40
places where liquors are sold 463
places where profits are great 49
places where repairs had been 66
plague shall destroy you when 55
plates grind against each other 122
plates pushing against each other 47
plates rubbing against each other 41
plates slide against each other 55
plates which overlap each other 51
played chess against all these 90
police force carried law into 70
policy which brought him great 65
policy which brought him into 98
policy which hitherto had been 52
pounds eight shillings and four 166
pounds eight shillings and nine 160
pounds seven shillings and five 68
pounds seven shillings and four 45
pounds seven shillings and three 99
powder fired against his body 43
powers taken together that make 63
prefer quiet parties with good 49
pressing close against each other 110
pretty smooth dialogue has done 104
priest laugh together and heard 47
prince found himself far down 96
prison shall appoint all other 54
prizes which pirates may make 78
proper place between two just 231
proper place wherein they were 42
public grade schools and high 82
public housing program has been 115
public lands offered for sale 60
public local inquiry was held 82
public trust involving not only 153
public works carried out during 62
public works program has been 58
pupils might compare with their 80
