pain i am going through 42
part a of this figure 337
part a of this section 514
part b of this figure 234
part b of this section 416
part c of this section 228
part i am not afraid 50
part i am not anxious 67
part i am now pointing 41
part i do not accept 57
part i do not desire 41
part i do not expect 65
part i do not intend 53
part i do not object 110
part i do not regard 67
part i do not regret 43
part i do not wonder 51
part i of this opinion 99
part i of this report 241
part i of this series 405
part i of this volume 867
play i in one person 455
