paintings amongst 40 passage quoted 2423
perform dances 65 perform office 100
perhaps before 219 perhaps striking 46
perhaps sample 93 perhaps unjust 70
perhaps something 66 perhaps enough 603
perhaps enough 60 permits degree 60
persons across 75 picture painting 230
pierced deeper 111 pointed toward 104
position placed 144 possess degree 62
possess degree 874 possess opinion 48
preached sermon 74 preached sermon 178
preached sermon 637 present serious 562
present varied 105 present number 69
present degree 139 present greater 164
present unable 213 present further 54
present enough 49 present tokens 57
present little 74 present mention 174
present mention 170 present remark 117
presume called 137 presume enough 99
prevent becoming 241 prevent spreading 318
prevent starting 92 prevent marrying 49
prevent serious 42 prevent becoming 100
prevent behaving 116 prevent entering 150
problem across 46 proceed farther 44
proceed further 112 proceed without 123
process through 78 procure homage 49
produce without 47 produce cheaply 64
produce system 56 produce marked 94
produce serious 55 produce severe 72
produce singular 110 produce stable 53
produce violent 59 produce output 193
produce effect 529 produce finish 50
produce powder 41 produce effect 454
produce effect 362 produce number 66
produce degree 52 produce degree 201
produce number 58 produce better 89
produce greater 208 produce larger 76
produce effect 76 producing effect 112
producing effect 56 producing degree 61
producing vacuum 41 producing larger 44
producing effect 69 project outgoing 118
project worked 42 promise likely 62
protect bloody 51 provide through 44
provide source 50 provide system 48
provide direct 154 provide robust 123
provide rugged 138 provide secure 46
provide stable 186 provide useful 94
provide varied 85 provide source 76
provide source 67 provide supply 50
provide answer 42 provide measure 51
provide source 73 provide starting 169
provide degree 389 provide larger 40
provide source 103 providing degree 99
purpose chosen 49 pursued active 47
