pan place 54 pan until 1712
path point 208 pay value 86
pay usage 49 pay funds 158
pay extra 52 pay water 129
pay others 87 pay could 55
pay shall 49 pay costs 229
pay taxes 79 pay costs 362
pay taxes 181 pay board 104
pay offer 106 pay leaves 91
pay taxes 51 pay board 130
peak women 52 pen purse 53
pen fingers 50 pen fingers 187
pen hands 88 per period 76
per above 183 per after 48
per first 70 per period 1537
per period 9505 per women 64
per could 125 per would 119
per level 142 per value 56
per until 66 per cause 80
per reason 50 per child 49
per women 43 per under 155
per unity 46 per white 56
per would 149 per goods 57
per pound 75 per pupil 66
per black 61 per could 42
per local 56 per others 85
per steel 88 per today 41
per total 143 per twice 95
per under 138 per usual 107
per white 58 per women 184
per would 265 per spent 49
per above 3183 per level 52
per value 48 per months 116
per period 708 per which 88
per period 1696 per share 129
per could 450 per found 125
per liked 161 per might 64
per never 244 per often 63
per spent 84 per voted 60
per would 4691 per would 149
per women 222 per goods 73
per within 103 per aware 153
per happy 46 per known 42
per willing 54 per working 130
per hours 47 per period 79
per women 55 per above 182
per whole 70 per period 51
per period 297 per after 93
per above 372 per cross 122
per hence 43 per shunt 105
per given 78 per hence 45
per would 162 per hence 135
per space 81 per equal 63
per given 50 per which 105
per change 129 per period 116
per period 121 per above 230
per learns 53 poem whole 64
poem shape 47 poet trade 41
poet lines 114 pop about 41
pop while 180 pot water 55
pot until 119 put hands 237
put hands 49 put anything 52
put every 48 put sight 73
put hearts 41 put minds 90
put every 65 put every 45
put which 60 put hands 62
put place 73 put place 388
put mouths 52 put carry 49
put which 69 put start 91
put roots 62 put night 63
put would 48 put ought 51
put please 41 put really 57
put water 43 put mouths 201
put people 161 put leaves 46
put period 163 put crown 84
put nails 46 put leaves 57
put views 50 put hands 117
put hands 46 put again 40
put given 53 put place 46
put words 62 put hands 359
put mouths 83 put words 276
put words 70 put water 131
put known 43 put search 96
put hands 228 put words 1340
put hands 72 put money 92
put again 46 put races 104
put grease 80 put water 63
put water 57 put money 53
put trust 1122 put coats 75
put hands 43 put hearts 177
put lands 100 put trust 286
put socks 45 put money 155
put water 118 put people 75
put facts 41 put water 60
put close 136 put trust 658
put hands 95 put phone 120
put socks 81 put money 48
