packed array of oxygen ions 50
painting where the artist has 53
painting which is copied not 51
palace which the bishop was 95
palace would be filled with 56
palest flesh is solemn and 44
paltry piece of painting hung 72
papers given to voters who 80
papers might be called for 46
papers shall be opened and 70
papers which the latter had 52
papers while he waited for 56
papers would be filled with 86
parent fails to comply with 144
parent needs to realize that 42
parent plant or animal does 71
parent races in europe that 86
parent would be better off 40
parish began to employ him 68
parish where the building was 66
parish where the cattle had 65
parish where the priest was 45
parked where it always was 41
parked where it should not 53
parted under the strain and 45
partly drawn the bright air 45
passed miles of ground that 54
passed round the circle and 40
passed round the corner and 44
passed since he closed his 57
passed since he parted with 74
passed since the battle day 60
passed since the diamond was 48
passed since the events that 47
passed since the murder and 58
passed since the report was 48
passed since the system was 57
passed under it without being 64
passed under my window and 52
passed under the bridge and 386
passed under the bridge for 64
passed under the bridge that 55
passed under the castle with 70
passed under the middle one 42
passed under the mosaic law 54
passed under the tendon and 40
passed under the window with 61
passed while he waited for 59
passed while we waited for 80
passes beneath the ganglion and 56
passes under the bridge and 57
pastry brush to remove any 57
patent after the patent had 60
patent method of founding and 213
patent shall be issued for 151
patent under the common seal 94
patriot party to obtain his 48
patron saint of actors and 41
patron saint of bohemia and 43
patron saint of england and 296
patron saint of england was 64
patron saint of france and 179
patron saint of greece and 43
patron saint of horses and 47
patron saint of lepers and 74
patron saint of madrid and 40
patron saint of mexico and 169
patron saint of miners and 64
patron saint of poland and 122
patron saint of venice and 50
pauper labor of europe and 184
paused until the waiter had 46
paused while the waiter set 73
peasant would go through his 63
peeped round the corner and 77
peered round the corner and 158
peoples would be better off 57
peptic ulcer in england and 70
periods shall be tolled for 90
periods within the school day 74
permit could be issued for 110
permit shall be issued and 46
permit shall be issued for 2593
permit spain to adjust her 109
permit under the rivers and 46
permit would be issued for 137
person again in visiting him 54
person burnt in england for 69
person causing the injury has 52
person causing the injury that 66
person causing the injury was 53
person comes to realize that 305
person could at common law 45
person could be blamed for 46
person could be jailed for 51
person could be someone who 43
person either to induce him 582
person failing to comply with 3319
person fails to comply with 6383
person fails to realize that 109
person holding the office has 186
person might be better off 45
person might be little set 54
person might be someone who 42
person might do better for 47
person needs to realize that 171
person ought to pursue his 54
person pawning or pledging any 69
person power to employ and 46
person seeking to employ him 132
person selling or exposing for 275
person selling or offering for 1321
person sells to another who 41
person shall be chosen for 46
person shall be deemed and 385
person shall be deemed for 502
person shall be deemed not 688
person shall be denied any 270
person shall be repaid him 44
person shall be served with 63
person shall be treated for 175
person swore he caught them 44
person tends to assume that 43
person tries to figure out 65
person under the common law 277
person wants to ensure that 45
person where the lawyer has 96
person within the agency who 111
person within the family and 80
person within the family who 46
person would be better for 68
person would be better off 1225
person would be better than 42
person would be caught dead 53
person would be fairer than 105
person would be someone who 120
person would be thought odd 54
phrase would be called his 44
picked bones of camels that 49
pieces could be broken off 97
pieces shall be washed and 52
pieces where the pencil had 52
placed after the symbol for 63
placed nearer the mirror than 72
placed under an unjust and 66
placed under the charge and 177
placed under the common law 57
placed under the direct and 108
placed under the forearm and 42
placed under the funnel and 49
placed under the hammer and 48
placed under the orders and 135
placed under the pelvis and 59
placed under the pillow and 85
placed under the rubber dam 59
placed under the toilet seat 51
placed where it belongs and 47
placed where the public can 83
placed within the cavity and 43
placed within the vagina and 43
places could be filled with 44
places might be filled with 60
places shall be opened are 236
places where he should not 367
places where he thought that 182
places where he thought they 45
places where he worked and 65
places where it appears and 109
places where it appears that 90
places where it occurs and 190
places where it occurs are 47
places where it seemed that 93
places where it should not 809
places where no matter has 45
places where the animal has 48
places where the animal was 53
places where the battle was 62
places where the bodies had 47
places where the bottom was 59
places where the buddha had 102
places where the buddha was 62
places where the canals are 41
places where the canals may 40
places where the cattle are 84
places where the church has 50
places where the church was 198
places where the common and 55
places where the custom had 75
places where the demand for 273
places where the demand was 50
places where the disease had 53
places where the disease has 123
places where the disease was 124
places where the english and 46
places where the english had 83
places where the family had 42
places where the fields are 65
places where the fields lay 62
places where the fighting had 49
places where the fighting was 125
places where the forest had 40
places where the forest has 63
places where the forest was 49
places where the french had 53
places where the gospel had 194
places where the gospel has 207
places where the gospel was 244
places where the ground and 92
places where the ground had 243
places where the ground has 117
places where the ground lay 68
places where the ground was 589
places where the herrings are 52
places where the horses are 80
places where the horses had 41
places where the houses are 80
places where the houses had 41
places where the indians got 59
places where the indians had 490
places where the latter are 88
places where the latter had 127
places where the latter has 82
places where the latter was 49
places where the metals are 50
places where the mortar had 56
places where the nations you 51
places where the opinion was 70
places where the plague was 43
places where the plants are 187
places where the plants that 72
places where the public are 54
places where the public can 107
places where the public has 42
places where the public may 88
places where the rebels had 81
places where the romans had 51
places where the scenes are 95
places where the slopes are 71
places where the stones are 66
places where the strata are 81
places where the system has 46
places where the timber and 40
places where the waters are 74
places where the waters had 46
places where the writer has 98
