parties under 114 passage sharing 47
pattern times 238 pattern within 65
pattern women 123 payment often 66
percent funds 125 percent level 69
percent funds 49 percent earnings 902
percent under 44 percent flows 63
percent under 40 perform steps 89
perhaps others 51 perhaps block 95
perhaps which 47 perhaps which 53
perhaps which 105 perhaps block 153
perhaps story 77 permits board 55
persons could 186 persons might 68
persons would 61 persons shall 58
persons taste 55 persons within 82
picture women 42 pleasure rests 49
position which 59 position agent 43
position within 269 position would 45
position terms 56 possess under 51
possess spark 108 prepare entry 49
prepare entry 150 present tense 243
present about 55 pressed until 63
primary would 51 princes round 123
princes stood 81 printed which 61
problem learning 747 problem stems 51
problem which 67 problem women 2836
process times 54 process times 4036
process solving 326 process still 49
process learning 268 process takes 65
process value 128 process court 55
produce court 85 produce words 82
produce forms 43 produce change 56
produce under 52 produce within 100
produce books 103 produce rains 66
produce level 86 producing which 148
product wages 47 profess which 114
program kinds 71 program sharing 175
program which 59 program rules 182
promote rather 55 protect notes 103
protect every 53 protein ovary 42
protein which 50 provide sheet 57
provide guide 44 provide phase 134
provide which 73 provide which 107
provide about 57 provide earnings 44
provide teaching 139 provide touch 74
provide level 73 proviso shall 65
purport social 202 purpose goals 291
purpose given 117 purpose bound 61
purpose goals 58 purpose gains 221
purpose sales 58 purpose thereof 488
purpose trade 99 purpose learning 428
purpose might 120 purpose trade 68
purpose spacing 43 purpose funds 124
purpose thereof 63 purpose first 97
