pay loans 66 pay bills 93
per found 67 per grown 99
per under 143 per whose 113
per people 69 per homes 361
per italy 51 per japan 89
per local 71 per rural 129
per russia 43 per small 61
per state 174 per taxes 43
per towns 56 per within 96
per working 42 per votes 188
per homes 84 per after 45
per later 272 per later 236
per parts 129 per given 58
per added 50 per built 76
per found 790 per given 103
per noted 135 per shown 96
per taken 61 per found 67
per about 50 per under 45
per months 49 per names 40
per later 219 per gross 80
per stock 40 per value 69
per under 160 per within 136
per ethnic 79 per homes 71
per rural 127 per urban 197
per women 44 per alone 211
per below 64 per fifty 158
per forty 169 per sixty 177
per thirty 60 per women 50
per people 59 per within 85
per place 42 per found 68
per first 49 per hours 65
per water 80 per first 50
per until 46 per child 51
per state 80 per equal 257
per first 147 per shown 43
plea after 127 pop while 91
put hands 1365 put hands 198
put israel 223 put minds 113
put minds 74 put boxes 70
put place 85 put mouths 160
put hands 147 put roots 86
put until 67 put blood 86
put roots 58 put mouths 344
put power 57 put leaves 95
put minds 47 put under 55
put humor 81 put order 47
put lives 57 put mouths 133
put sharp 40 put tails 229
put trees 45 put noses 68
put action 544 put words 51
put about 46 put action 554
put print 86 put words 319
put writing 64 put action 2012
put motion 72 put forms 69
put round 51 put action 886
put words 87 put action 179
put action 374 put about 124
put aloft 47 put action 251
put words 136 put under 195
put plain 40 put under 48
