parish interested 86 partly commanders 44
peoples continents 40 peoples continents 50
periods enumeration 154 periods eventually 42
periods devastated 75 person application 51
person calamities 43 person precautions 75
person importance 56 person importance 53
person distinction 45 person importance 237
person punishment 55 person sufficient 70
person information 138 person disposition 113
person acceptance 69 person assistance 156
person controlled 960 person information 278
person submissions 189 person predicates 45
pieces discharged 43 pieces discovered 51
pieces undertaken 47 placed particular 180
placed categories 121 placed substantial 56
places accustomed 59 places convenient 109
places accidental 41 places information 262
planet discovered 46 planet originally 58
planning facilities 140 planning retirement 74
plants vigorously 42 plates fabricated 104
pleased recognized 64 pleased assistance 220
pleased sentiments 40 pleased gratuitous 69
pledge birthrights 42 plunged confessions 44
points convenient 48 points importance 52
points importance 145 points frequently 59
points considered 121 points introduced 59
points reconciled 50 points authorities 96
policy importance 84 policy potentates 43
portion unprovided 49 poured broadsides 42
powers progenitor 112 powers autocratic 46
powers recognized 50 powers manifestly 44
powers components 58 powers restricted 94
powers regulations 82 powers obligations 59
prefer imagination 47 prefer information 60
profit superiority 104 profit ultimately 51
profit admonitions 57 prompt connections 63
proofs disposition 42 proper description 55
proper explanation 48 proper information 54
proper limitations 67 proper quarantine 53
proved formidable 47 proved importance 43
proved importance 106 proved successful 283
proved absolutely 92 proved completely 103
proved contracted 56 proved cultivated 57
proved deliberate 43 proved discovered 42
proved erroneously 72 proved fabricated 54
proved fraudulent 46 proved groundless 141
proved implicated 109 proved impossible 63
proved inaccurate 48 proved influenced 44
proved instigated 43 proved instituted 80
proved introduced 71 proved originally 356
proved remarkably 46 proved successful 98
proved advantages 51 proved advantages 196
proved advantages 48 proves originally 56
public interested 104 public interested 65
public principles 44 pupils application 57
