painful and increasing toil was 50
painted and papered from top 58
painted two hundred years ago 128
painted with diverse hues and 51
pajamas and climbed into bed 168
pajamas and crawled into bed 124
palaces and prisons among you 44
palaces and temples rise out 46
parents and brothers were all 50
parents and friends were not 63
parents and friends when they 78
parents and teachers feel that 301
parents and teachers felt that 185
parents and teachers have for 53
parents and teachers have had 110
parents and teachers have long 43
parents and teachers have not 126
parents and teachers know how 54
parents and teachers know that 238
parents and teachers must not 68
parents and teachers tell him 54
parents and teachers tell them 52
parents and teachers tell you 57
parents and teachers think that 142
parents and teachers were not 146
parents and teachers what they 51
parents and teachers when they 207
parents and teachers will not 148
parents are shocked when they 68
parents for several years and 54
parents got married when they 47
parents may believe what they 89
parties and enacted into law 45
parties and factions will not 56
parties are divided into two 66
parties are released from any 44
parties who entered into them 312
partner may withdraw upon not 170
passage for herself into its 219
passage was divided into two 42
passage was written more than 66
passions are subdued when they 95
patched with stunted oaks and 96
patents are granted only for 69
patient and explain what you 357
patient and forgiving when all 85
patient for several years and 87
patient has insight into his 44
patient may present only with 40
patient may recover from this 53
patient may require more than 50
patient was fifteen years old 54
patient was symptom free and 56
patient was thirteen years old 60
patient who suffers from this 116
patient with chronic pain and 108
patient with chronic pain can 52
patient with chronic pain may 129
patient with chronic pain who 86
patient with insight into his 41
pattern that differs from that 161
pattern that emerged from this 75
pattern that emerges from all 100
pattern that emerges from our 77
pattern that emerges from this 429
pattern that results from this 100
pattern was repeated over and 270
pattern was repeated time and 56
payment for everything done for 44
payment for medical care and 104
payment for medical care for 100
payment may recover from any 239
peaceably and quietly have and 66
peaceably and quietly held and 72
peaceably and quietly hold and 176
peasants and workers from all 54
peasants and workers have not 40
peasants and workers were not 121
pebbles that rattled when they 89
peculiar tax imposed upon them 329
penalty was imposed only for 40
penalty was imposed upon all 57
penalty was imposed upon any 125
penalty was imposed upon him 104
penance was imposed upon them 58
pensions and medical care for 118
percent had between five and 48
percent had incomes less than 78
perfect and secured from all 40
perfect fit between theory and 49
perfidy had brought down his 61
perform any function other than 130
perhaps all present have not 60
perhaps her husband will not 40
perhaps her silence cost her 48
perhaps his greatest work was 67
perhaps not exactly what you 42
perhaps one hundred feet long 193
perhaps one hundred years ago 116
perhaps one hundred years old 42
perhaps six thousand years ago 107
perhaps ten thousand years ago 792
perhaps this country ever saw 51
perhaps two hundred feet long 133
perhaps two hundred years ago 346
perhaps two hundred years old 151
perhaps two thousand years ago 498
perhaps two thousand years old 100
perjury had brought upon them 92
persist for several days and 443
persist for several days but 50
persist for several days with 40
persist for several years and 254
persist for several years but 40
persist for several years with 41
persons and injured more than 216
persons and objects were dear 63
persons and parties will woo 40
persons and wounded more than 113
persons are carried away with 65
persons are divided into two 85
persons are perhaps idle and 48
persons are reduced from ease 42
persons are usually those who 55
persons had stepped into this 52
persons not exceeding five may 114
persons not suffering from any 51
persons that dissent from you 47
persons that flocked from all 80
persons thus divides into two 75
persons who acquire more than 43
persons who benefit from them 47
persons who defeated their own 45
persons who dissent from them 43
persons who entered into them 100
persons who receive less than 65
persons who receive more than 66
persons with incomes less than 175
petition for divorce from his 112
phantom was advancing upon him 119
phrases are repeated over and 358
picture has emerged from this 50
picture that emerged from his 40
picture that emerged from our 74
picture that emerged from this 183
picture that emerges from all 361
picture that emerges from both 60
picture that emerges from his 182
picture that emerges from our 463
picture that emerges from them 87
picture that emerges from this 2672
picture that emerges when one 112
picture that perhaps ever was 45
picture that results from this 40
picture was divided into two 57
picture was removed from its 68
picturing his outward life and 79
pierced for sixteen guns was 79
pilgrim and stranger upon earth 119
pirates who haunted these seas 40
plainly saw against whom they 55
plainly that currant wine was 64
planets are divided into two 167
planned and brought into being 165
planted two hundred years ago 199
plastic and graphic arts and 133
plastic and graphic arts are 110
platoon was divided into two 44
players are divided into two 5526
pleasant and restful time for 67
pleasure and benefit from his 42
pleasure and benefit from them 44
pleasure and benefit from this 46
pleasure and remorse must both 66
pleasure can express nothing but 67
pleasure its highest zest and 75
pleasure she derived from her 136
pleasure she derived from his 55
pleasure she derived from this 71
pleasure she derives from her 109
pleasure they derived from his 47
pointed out between these two 116
pointed out fifteen years ago 189
