pacific means which have the 95
paddled their canoes along the 76
paddled their canoes down the 105
painful life shall have an 144
paintings were taken from the 89
palaces were built during the 50
palaces were built only in 56
palaces were thrown open to 40
papyrus grow where there is 146
parable upon every sort of 67
parents have given birth to 64
parents have moved from the 44
parents have never been to 54
parents have never heard of 110
parents have often told me 50
parents have taken care of 73
parents till thirty years of 57
parents took alarm during my 41
parents were getting ready to 161
parents were never able to 275
parents were still able to 72
parents were still living at 64
parents were still living in 731
parents were still living on 44
parents were still trying to 87
parents were taken away to 42
parents were taken care of 63
parents were taken from me 42
parents when eight years of 49
parents will never have to 45
parties even though there is 48
parties from terms used in 66
parties have acted upon the 72
parties have equal means of 49
parties have found ways to 46
parties have given rise to 47
parties have moved from the 67
parties have never been the 100
parties have taken part in 79
parties must agree upon the 127
parties must enter into the 46
parties took place during the 81
parties were bound over to 46
parties were drawn from the 60
parties were drawn into the 65
parties were fixed prior to 63
parties were fused into the 42
parties were never able to 201
parties were quite ready to 41
parties were still able to 58
parties were still trying to 64
parties were thrown into the 98
parties will enter into an 62
parvenu snob could have the 45
passage from earthly life to 43
passage from sandy hook to 102
passage from santa cruz to 69
passage from thence into the 71
passage just cited from the 325
passage there stood along the 42
passage till within view of 43
passage wall stood clear of 58
passions have taken part on 191
passions most strong when he 54
passions must arise from the 70
passions were running high in 85
patents were taken over by 80
pathways from brain stem to 65
patient even though there is 45
patient from causing harm to 62
patient from falling into the 48
patient from sliding down in 88
patient over forty years of 130
patient puts words into the 44
patient when first seen is 42
patient will often need to 42
patient will still need the 43
patrols were flown over the 47
pattern also holds true in 43
pattern from which there is 46
pattern onto paper side of 61
pattern took place during the 45
peasants from every part of 72
peasants were drawn into the 214
peasants were freed from the 176
peasants were often able to 45
peasants were still able to 69
peasants were still living in 55
penalty from which there is 46
pennons vain plumb down he 152
percent were drawn from the 120
percent were still living in 44
perfect gift comes from the 136
perfect peace whose mind is 3509
perfect roar burst from the 46
perfect wealth shall ever be 81
perform many tasks such as 49
perform other tasks during the 58
perform other tasks such as 365
perform some action such as 92
perform some action when the 89
perform their legal duty of 63
perform their whole duty in 53
perform their whole duty to 47
perform these tasks will be 52
perhaps best known among the 51
perhaps best known from the 296
perhaps five miles from the 101
perhaps four miles from the 44
perhaps four times during the 41
perhaps have found means to 41
perhaps have given rise to 365
perhaps have known more of 58
perhaps have never heard of 132
perhaps have never made the 41
perhaps have never seen the 49
perhaps have sprung from the 40
perhaps many miles from the 56
perhaps more easily seen in 104
perhaps more fully seen in 40
perhaps more nearly akin to 91
perhaps more often used in 50
perhaps most easily done by 70
perhaps most easily seen by 143
perhaps most easily seen in 336
perhaps most often seen in 70
perhaps most often used in 75
perhaps most often used to 65
perhaps most others during an 62
perhaps nothing could make it 41
perhaps nothing would come of 47
perhaps once every three or 70
perhaps some beauty lies the 84
perhaps some faint ideas of 84
perhaps some light will be 49
perhaps some would call it 59
perhaps there might also be 41
perhaps there might even be 64
perhaps there never will be 463
perhaps there would even be 58
perhaps those based upon the 74
perhaps those which take the 42
perhaps three miles from the 120
perhaps three times what it 58
perhaps throw light upon the 84
perhaps will never come to 51
perhaps worth while here to 64
persist into adult life as 188
persist into adult life in 184
persist into adult life or 51
persons born within some of 72
persons even might want to 93
persons find ample room to 41
persons from banking during the 82
persons from every part of 440
persons from every walk of 230
persons from falling into the 99
persons from rural areas to 68
persons have given rise to 46
persons have moved from the 43
persons have moved into the 43
persons have never heard of 40
persons have taken part in 181
persons having liens upon or 102
persons living within reach of 40
persons over fifty years of 797
persons over forty years of 764
persons over seven years of 71
persons over sixty years of 1089
persons over thirty years of 260
persons past fifty years of 49
persons upon whose life or 61
persons were drawn from the 63
persons were drawn into the 144
persons were found among the 42
persons were found living in 47
persons were found ready to 42
persons were freed from the 45
persons were saved from the 114
persons were still living in 73
persons were swept away by 68
persons were taken care of 49
persons were taken from the 116
persons were taken into the 118
persons were thrown into the 145
persons were thrown upon the 45
persons were thrust into the 46
persons will either cease to 55
phrases there which stay in 65
pickets were fired upon by 65
picture many people have of 46
picture most people have of 97
picture must arise from the 60
pillars upon which rest the 58
pillars were taken from the 56
