packed living 263 paltry three 264
papers sign 60 pardon teeth 95
partly rich 76 passed wine 65
passed such 42 passed early 59
passed early 42 passed july 149
passed june 108 passed july 88
passed june 57 passed next 43
passed curb 58 passed give 147
passed have 45 passed help 78
passed keep 81 passed make 271
passed meet 40 passed stop 164
passed take 87 passed laws 58
passed time 164 passed laws 166
passed these 90 passed more 146
permit pass 128 permit give 59
permit have 321 permit hold 45
permit live 69 permit make 245
permit pass 135 permit take 234
permit vote 89 permit walk 111
permit work 138 person other 110
person time 56 person know 149
person mind 259 person much 122
person meet 322 person talk 86
person even 43 person love 103
person have 76 person meet 142
phases have 40 phases were 103
picked lint 73 picked wild 43
pinned hope 65 pitied much 48
placed gold 196 placed iron 186
placed soap 49 placed gold 54
placed wine 53 placed foot 87
placed wood 58 placed faith 203
placed hope 105 placed beer 72
placed iron 78 placed four 40
placed five 45 places faith 112
places mind 48 places make 141
places take 45 planning smut 40
planning hold 42 planning life 77
plants much 121 played golf 55
played ball 481 played gigs 58
played golf 1038 played good 101
played jazz 175 played other 57
played piano 67 played pool 93
pleased such 65 pleased come 65
pleased find 242 pleased have 249
pleased know 75 pleased learn 107
pleased meet 135 pleases love 185
plucking wool 85 pocket mind 102
pocket last 48 pointing their 48
pointing your 177 points your 114
points mind 174 points make 46
points make 106 popped beer 48
pounds more 93 pounds keep 47
pounds best 79 pounds least 187
pounds most 79 pounds hard 42
pounds case 97 pounds gold 120
pounds land 2047 pounds lieu 104
pounds rent 161 pounds paid 68
pounds less 104 pounds more 599
pounds half 121 pounds have 107
pounds help 42 pounds keep 383
pounds live 625 pounds mary 89
pounds more 53 pounds their 94
pounds three 47 pounds what 40
poured wine 52 poured cold 128
poured milk 127 poured wine 400
poured cold 51 poured lake 75
praise sell 77 praising life 41
preaching life 74 prefer life 97
pressing your 57 pressing moving 72
pretty ever 50 pretty ever 52
profit other 202 profit gain 6134
profit have 411 profit know 85
prompt make 103 prompt plan 193
prompt speak 48 prompt take 61
prompt stir 104 proper ever 331
proved their 50 proved great 53
proves fact 58 pulled beer 108
pulled coke 42 pulled from 165
pulled keys 503 pulled cash 165
pulpit wood 340 punish whom 46
pursue peace 41 pursue self 40
pursue life 436 pursuing other 77
