pack depended less upon the 42
pain suddenly shot into my 55
pale cripples went into the 100
pale phantoms rising from the 89
pass directly from cell to 443
pass directly into those of 113
pass directly over into the 273
pass judgment upon what is 70
past attempts were made to 92
past blunders having been in 56
past cultures ranging from the 53
past differed from those of 40
past sufferings have been as 261
peer straight down into the 42
pipe diameters away from the 56
plus interest from date of 55
poems probably date from the 45
poor children away from the 40
poor children were sent to 48
poor children will have to 45
poor condition from lack of 45
poor creatures have been so 98
poor creatures will have to 122
poor demented girl came to 72
poor families were able to 70
poor families will have to 46
poor ignorant soul trying to 63
poor neighbor sick abed at 93
poor scotland will have to 59
poor shepherd girl from the 167
poor shepherd huts made at 99
poor sufferer will soon be 118
pull attention away from the 341
pull directly away from the 45
pull moisture away from the 138
pull slightly away from the 127
pull yourself away from the 257
pulp business next door to 48
pump operates only when the 64
pure carbolic acid into the 82
push yourself away from the 406
