painful have 127 painted pale 71
painted soft 91 palaces knew 92
paradox have 101 parched week 49
parents more 122 parents rich 54
parents note 44 parties have 200
parties have 61 parties more 183
parties lease 125 parties have 88
partner much 56 partner duty 95
passage word 52 passage young 63
passage have 273 passage said 55
passage speak 54 passage mile 145
passage part 47 passage have 315
passage speak 43 passage boat 60
passage ship 469 passage have 184
passage have 1263 passage must 41
passage will 120 passage wish 130
passions have 88 passive great 41
patient card 94 patient clean 60
patient clear 58 patient copy 55
patient diet 188 patient dose 228
patient drug 145 patient full 151
patient hand 45 patient high 325
patient list 119 patient mild 99
patient single 171 patient soft 41
patient test 115 patient very 53
patient warm 52 patient young 92
patient more 73 pattern single 114
pattern have 61 payment sale 42
payment have 66 penalty jury 88
pennies good 42 pennons span 119
perhaps third 117 perhaps more 141
perhaps more 42 perhaps hero 137
perhaps have 41 perhaps book 85
persons have 52 persons ship 729
persons have 48 persons fine 55
perusal have 145 pestering good 43
petition vote 88 petition have 58
phrases have 49 phrases knew 56
picture young 61 picture have 151
picture have 207 picture speak 57
picture have 48 picture book 126
picture book 101 picture have 130
pitched high 43 pitiful grin 192
plainly were 42 plainly less 56
planned book 54 planned baby 42
planned ship 45 planned city 117
planned fort 196 planned great 188
planned high 116 planned home 287
planned huge 147 planned line 152
planned mill 59 planned road 209
planned town 67 planned wide 54
planned great 66 planned ride 68
planned girl 64 planned young 68
planned full 49 planned good 76
planned great 50 planned month 222
planned week 816 planned coup 313
planned book 5225 planned full 60
planned great 70 planned life 328
planned more 40 planned play 216
planned third 104 planned work 143
planted pike 41 pleasant great 55
pleasure good 50 pleasure part 76
pleasure have 64 pleasure have 78
pleasure great 169 pleasure very 48
pleasure ball 44 pleasure great 48
pleasure very 91 pleasure young 74
pleasure game 161 pleasure stop 55
pleasure copy 58 pleasure pipe 40
pleasure good 42 pleasure tale 59
pleasure have 233 pleasure book 115
pleasure have 87 pleasure look 64
plotted line 44 plugged bled 45
plurals into 43 pockets hair 89
pointed yard 60 polygon line 63
poppies girl 60 portage mile 81
portions have 196 portions will 44
position have 42 position body 87
position good 44 position great 78
position line 61 position ship 89
position single 114 position very 49
position young 101 position ever 149
position feel 66 position felt 114
position find 1330 position have 1301
position left 63 position must 82
