pains suffered 43 pains sickness 98
paint charcoal 41 paint vermilion 68
paper quotation 98 party emanated 53
party supporting 64 party formation 50
peeping packages 56 peeping crannies 59
people minority 445 people villages 85
people separate 40 people economic 53
people portugal 95 people villages 168
people industry 80 people emanated 76
people thousands 60 people dislikes 54
people hundreds 50 people thousands 114
people ventured 116 people overthrew 44
people economic 51 people increased 62
people organize 123 people evaluate 45
people interact 99 people organize 49
people perceive 43 people foremost 226
people homeless 47 people laughter 41
people executed 116 people zechariah 189
people children 115 people mutilate 60
peril fortunes 94 period proceeding 173
period synthesis 127 period continue 104
period occurred 52 period received 103
period remained 100 period economic 45
period economic 43 petty bankrupt 100
piece sentence 49 pitch ventured 64
place eyebrows 45 place external 126
place departed 50 place migrated 62
place observed 51 place actively 61
place fortunes 128 place property 121
place services 123 place children 358
place children 74 place resembling 90
place curiosity 51 placing children 86
placing children 41 plain prepared 58
plans approved 43 plant enhanced 42
plate exercise 43 plays brilliant 42
please regulating 115 pleasing commonly 50
pliant direction 57 plied impunity 251
poetry campbell 62 point departed 40
point diverged 74 point expected 44
point curiosity 69 point realities 42
point authority 57 point differed 51
point attention 47 power emanated 89
power defended 48 power opposite 48
power services 560 power property 41
power economic 65 power commerce 452
power children 49 power children 398
price services 232 pricing services 42
print maintain 110 prose original 46
pulse frequent 63 pupil received 67
putting blossoms 49 putting ungracious 55
putting children 119 putting children 61
