packed in boxes or bags 41
packed the cards by making 46
packet of laces to miss 54
padded in order to make 43
paddling in order to bail 43
painting an image of life 78
painting as though it were 291
painting at about the same 246
painting in order to find 69
painting in order to give 117
painting in order to make 284
painting in terms of what 91
painting is known to have 109
painting of about the same 136
painting of helen of troy 148
painting of peter the great 144
painting of which we have 115
painting on paper or silk 51
painting or playing the piano 140
painting the walls of their 107
paints the evils of life 125
paints the group of young 217
paired in terms of their 58
palace as though he were 41
palace by force of arms 62
palace in order to give 50
palace in order to have 53
palace in order to live 44
palace in order to make 101
palace in order to take 50
palace in which the great 40
palace in which to live 121
palace in which we have 55
palace in which we were 150
palace is known to have 51
palace of herod the great 946
palace of minos the great 42
palace of peter the great 432
palace or hovel at will 48
pamper the lusts of your 124
panels of about the same 43
panted as though he were 44
papers as though he were 69
papers at about the same 94
papers by scent as well 230
papers in order of their 41
papers in order to find 113
papers in order to gain 42
papers in order to give 101
papers in order to have 77
papers in order to help 53
papers in order to keep 120
papers in order to learn 45
papers in order to leave 40
papers in order to make 223
papers in order to save 48
papers in order to show 73
papers in terms of their 74
papers in which he gave 47
papers in which he made 43
papers in which he said 50
papers in which the name 72
papers in which we have 46
papers of about the same 86
papers of either of these 54
papers of which the most 42
papers of which we have 64
papers on board the ship 43
papers on which the said 68
papers on which the same 73
papers on which to base 61
papers or watch the news 122
papers to which he gave 44
papers to which we have 207
parade as usual the next 54
parade in front of their 167
parade in front of your 46
parade in honor of their 55
parade in paris on july 41
parade in sight of five 40
parade of learning in three 60
parading in front of their 110
parcel of books as soon 183
parcel of sugar or cloth 42
parcel of twine or thread 352
parcel of which the land 92
parcel or tract of land 5669
pardon is given in full 59
pardon no slips in poets 51
pardon the father is made 46
parent as though he were 43
parent in order to gain 69
parent in order to have 67
parent in order to help 126
parent in order to make 160
parent is asked to leave 41
parent is found to have 96
parent is known to have 109
parent is right or wrong 43
parent is unfit to have 98
parent is willing to give 79
parent is willing to take 55
parent or child by their 77
parent or child to give 70
parent the right to make 91
parent to child or from 147
parent to judge in what 63
parent to relax in such 82
parish in order to give 136
parish in search of work 229
parish in which he died 128
parish in which the land 286
parish in which the said 269
parish in which the same 127
parish in which the town 44
parish in which we were 95
parish is bound to find 155
parish to which the poor 65
parish to which the said 47
parish to which the same 59
parity in terms of gold 186
parity of reason we must 52
parked in front of mine 41
parked in front of room 66
parked in front of some 145
parked in front of their 1062
parked in front of what 184
parked in front of your 721
parrot in spite of your 45
parrying the blows it aims 54
parson or vicar is much 72
parson to drink the foul 102
parted as never to meet 80
parted as though he were 107
parted as though to speak 137
partly by force of arms 945
partly by reason of some 147
partly by reason of their 901
partly by turning the eyes 44
partly in doubt of what 52
partly in hopes of seeing 57
partly in order to break 86
partly in order to clear 116
partly in order to curb 68
partly in order to draw 55
partly in order to fill 71
partly in order to find 163
partly in order to free 114
partly in order to gain 358
partly in order to give 684
partly in order to have 410
partly in order to help 338
partly in order to hide 45
partly in order to hold 69
partly in order to keep 686
partly in order to learn 77
partly in order to leave 96
partly in order to look 56
partly in order to make 1279
partly in order to meet 358
partly in order to rest 45
partly in order to save 314
partly in order to show 601
partly in order to take 248
partly in order to teach 54
partly in order to test 129
partly in order to throw 44
partly in order to work 41
partly in search of health 100
partly in terms of other 42
partly in terms of some 64
partly in terms of such 222
partly in terms of their 847
partly in terms of these 108
partly in terms of what 821
partly no doubt to keep 51
partly of metal or other 96
partly of oxide of iron 43
partly of people on foot 42
partly the cause of some 51
