parallel combination of a current 62
parasite infestation to a minimum 483
partition coefficient as a function 117
partition coefficient is a function 43
performs appraisals on a regular 279
personal attachment by a worthier 40
personal attendance as a witness 54
personal attendance of a witness 67
personal commitment to a lifelong 114
personal evaluations as a function 74
personal examination of a patient 46
personal experience as a patient 209
personal experience as a soldier 96
personal experience as a student 228
personal experience of a peculiar 189
personal experience of a shudder 77
personal experience of a similar 96
personal incapacity of a trustee 98
personal information to a company 65
personal information to a stranger 144
physical activities on a regular 67
physical assessment of a patient 79
physical attributes of a product 138
physical characters of a habitat 48
physical components of a network 139
physical consumption of a capital 60
physical embodiment of a message 62
physical examination by a medical 206
physical examination in a patient 372
physical examination of a newborn 104
physical examination of a patient 2584
physical examination on a patient 229
physical principles of a science 41
physical properties as a function 343
physical properties of a certain 50
physical properties of a crystal 706
physical properties of a material 1781
physical properties of a mineral 166
physical properties of a mixture 67
physical properties of a natural 65
physical properties of a plastic 161
physical properties of a polymer 296
physical properties of a product 212
physical properties of a protein 145
physical properties of a solution 184
physical properties of a solvent 68
physical properties of a surface 100
physical properties of a typical 161
physical properties of a utility 98
physical properties of a variety 72
physical quantities as a function 41
plainest revelations by a corrupt 54
platinum electrodes in a solution 83
platinum electrodes of a battery 51
positive management as a function 98
possible approaches to a problem 113
possible approaches to a solution 109
possible utterances in a language 46
potential application in a variety 42
potential application to a variety 47
potential appointees by a judicial 64
potential difference as a function 124
potential difference in a circuit 120
potential difference is a function 80
potential difference is a maximum 109
potential difference of a battery 89
potential difference of v between 41
potential purchasers of a product 43
presenting information in a logical 93
presenting information in a variety 127
presents information in a logical 65
presents information on a variety 55
pressure coefficient as a function 225
pressure coefficient is a function 46
pressure difference as a function 161
pressure difference is a function 114
pressure ventilation in a patient 42
probably indicative of a general 60
probably inevitable in a country 42
probably influenced by a similar 40
probably influenced by a variety 56
probably originated in a similar 64
proceeding instituted in a federal 209
prolonged subjugation by a foreign 118
properly appertains to a chicken 119
properly classified as a capital 62
properly classified as a current 132
properly solemnized by a justice 58
property contiguous to a highway 62
property productive of a national 68
property settlement in a divorce 387
proposed acquisition of y company 123
proposed legislation to a popular 55
provided assistance in a variety 60
provided information on a variety 94
provides information of a general 53
provides information on a variety 440
purchase requisition is a request 43
purchase securities in a primary 129
purchasing department of a company 132
