painful tale of the wretchedness 63
parents tend to be inconsistent 47
parties came to an accommodation 131
parties prior to the commencement 359
parties such as the progressives 56
passions were of the intermittent 56
passive role in the determination 65
payable prior to the commencement 72
peaceful life of the mountaineers 88
percent rise in the unemployment 97
perched high on the mountainside 129
perfect good of an intellectual 69
perfect idol of the rationalistic 97
perfect type of the aristocratic 52
perform most of the agricultural 163
perhaps been of no disadvantage 63
perhaps made up of heterogeneous 53
perhaps some of the difficulties 100
perhaps some of the participants 40
perhaps those of the philosophers 89
perhaps tinged by the circumstance 67
persons even of the ecclesiastics 74
persons living in the metropolitan 55
persons living in the neighborhood 458
persons seem to be particularly 47
pitcher back in the refrigerator 60
pivotal role in the determination 96
pivotal role in the dissemination 66
pivotal role in the international 169
plastic bags in the refrigerator 664
plastic wrap in the refrigerator 275
pleasure even in the consciousness 87
politic lies in the reconciliation 47
position held by the confederates 88
position prior to the commencement 55
position told me in johannesburg 58
prayers said in the parliamentary 67
precious faith in the righteousness 55
precise date of the commencement 300
precise time of the commencement 48
predict some of the consequences 106
premium paid by the policyholder 163
preparing many of the illustrations 147
preparing most of the illustrations 65
preparing some of the illustrations 119
present case it is particularly 53
present form of the dictatorship 69
present more of an acquaintance 48
present only in an experimental 43
present only in the experimental 121
present only to the commencement 113
present some of the complexities 124
present some of the difficulties 300
present some of the experimental 291
present some of the fundamentals 56
present there is no experimental 488
present there is no international 311
present there is no justification 179
present there is no quantitative 49
present there is no satisfactory 808
present there is no standardized 95
present threat to the requirements 93
present time it is particularly 67
present time to be demonstrated 62
present when the king interrogated 101
present work is an experimental 49
present work is an investigation 153
present work is the investigation 59
present work is to characterize 61
prevent many of the complications 181
prevent many of the consequences 40
prevent many of the difficulties 82
prevent some of the complications 208
prevent some of the consequences 92
prevent some of the difficulties 94
primary goal of the investigation 128
primary role in the determination 103
primary side of the transformers 90
primary task of the psychologist 66
primary task to be accomplished 49
primers used in the amplification 164
printed copy of the specification 164
priority date of the international 63
priority item on the international 142
private part of the specification 114
problem here is the determination 92
problem lies in the availability 54
problem lies in the determination 213
problem lies in the difficulties 82
problem such as the determination 50
problem will be the determination 61
proceed even to the extermination 111
proceed next to the consideration 101
process also in the investigation 41
process leading to the determination 75
process leading to the disappearance 56
process leading to the independence 155
process lies in the circumstance 56
process will go on indefinitely 129
produce most of the agricultural 52
produce most of the manufactured 62
produce peace by the counteraction 48
product back to the manufacturer 66
product made by the manufacturer 42
product sold by the manufacturer 66
profits went to the shareholders 43
program leading to the baccalaureate 97
provide many of the capabilities 95
provide most of the agricultural 88
provide most of the capabilities 54
provide most of the functionality 224
provide much of the documentation 45
provide much of the functionality 159
provide much of the intellectual 121
provide much of the justification 40
provide part of the justification 54
provide some of the capabilities 64
provide some of the functionality 105
provide some of the intellectual 54
provide some of the satisfactions 46
providing many of the illustrations 115
providing much of the intellectual 71
providing some of the illustrations 103
providing there is no interference 47
purpose here is to characterize 61
