parts having different axes may 44
parts were separated from each 79
party were separated from him 40
people find themselves dealing with 51
people find themselves living and 95
people find themselves when they 50
people free themselves from this 51
people from countries other than 143
people from different areas and 152
people from different areas who 43
people from henceforth even for 335
people have benefited from his 54
people have benefited from this 130
people have concluded from this 62
people have conferred upon him 68
people have conferred upon them 81
people have developed their own 365
people have different ideas and 124
people have expressed fears that 40
people have forgotten their own 42
people have forgotten what they 65
people have sometimes gone mad 275
people here triumphed when they 45
people knew perfectly well that 201
people know perfectly well that 391
people very different from that 99
people very different from you 48
people were alienated from him 46
people were assembled from all 60
people were basically good and 136
people were collected from all 46
people were concerned only with 134
people were concerned there was 62
people were delighted when they 73
people were different from one 97
people were extremely poor and 69
people were generally poor and 66
people were horrified when they 40
people were miserably poor and 51
people were naturally good and 52
people were scattered from him 158
people were scattered here and 109
people were scattered over all 47
people were separated from each 53
people were separated into two 46
people were surprised when she 50
people were surprised when they 216
people were terrified when they 45
people will sometimes tell you 75
people will sometimes turn out 42
people will themselves tell you 152
period very different from that 65
piles were scattered among them 119
place very different from our 46
place very different from that 164
plans were carefully laid and 105
plant more excellent even than 78
plays more important role than 74
plays were liberally paid for 42
plays were published during his 177
plots were separated from each 55
plunge their countries into war 44
point very different from that 133
posts were separated from each 41
power very different from that 263
probe will hybridize only with 51
