pan placed on the floor 92
par amount of the bonds 144
path around to the front 105
path around to the right 114
path broken in the curly 47
path curved to the right 94
path curves to the right 159
path diagram of the model 66
path should be as short 53
path traced by the point 77
path turned to the right 176
path veered to the right 140
paw prints on the floor 42
pay duties on the goods 42
pay grades of the armed 121
pay homage at the court 71
pay homage at the grave 192
pay homage at the tombs 47
pay homage to it after 66
pay homage to my father 136
pay homage to the ashes 85
pay homage to the author 175
pay homage to the beauty 180
pay homage to the brave 66
pay homage to the bride 50
pay homage to the chief 271
pay homage to the child 289
pay homage to the deity 365
pay homage to the devil 207
pay homage to the father 323
pay homage to the first 333
pay homage to the glory 135
pay homage to the grand 238
pay homage to the guest 88
pay homage to the heroes 162
pay homage to the human 260
pay homage to the ideals 94
pay homage to the image 339
pay homage to the leader 96
pay homage to the levee 117
pay homage to the local 191
pay homage to the mother 170
pay homage to the nation 105
pay homage to the newly 242
pay homage to the noble 125
pay homage to the notion 97
pay homage to the people 223
pay homage to the place 48
pay homage to the power 245
pay homage to the queen 743
pay homage to the roman 141
pay homage to the royal 230
pay homage to the ruler 266
pay homage to the saint 389
pay homage to the souls 85
pay homage to the woman 118
pay homage to the world 172
pay little or no child 150
pay little or no taxes 1541
pay phones in the lobby 395
pay regard to the queen 78
pay regard to the state 47
pay regard to the views 85
pay scales in the civil 106
pay scales of the staff 144
pay scales on the basis 102
pay something to the state 182
pay visits in the evening 43
pay visits to the house 70
peak height of the curve 102
peak height of the first 115
peak levels in the blood 162
peak levels in the brain 43
peak occurs in the first 57
peak occurs in the morning 42
peak periods in the morning 45
peak powers of the order 166
peak powers on the order 51
peak reached in the first 140
peak shifts to the right 102
peak values of the input 144
pen dipped in the blood 71
pen instead of the brush 146
pen instead of the sword 262
per barrel at the start 52
per barrel at the wells 68
per barrel in the first 147
per barrel in the price 89
per bushel in the price 103
per bushel is the price 40
per bushel of the grain 90
per decade in the first 52
per decade in the period 75
per demand of the users 56
per family in the first 73
per family in the rural 52
per gallon in the price 92
per gallon in the water 69
per gallon on the first 44
per gallon to the price 46
per member of the armed 123
per member of the group 58
per member of the labor 1428
per member of the total 67
per member of the working 200
per million in the water 213
per million of the total 533
per minute at sea level 191
per minute at the pitch 98
per minute at the point 57
per minute at the start 71
per minute by the engine 41
per minute by the total 72
per minute in an adult 1021
per minute in the adult 803
per minute in the first 344
per minute in the human 125
per minute in the ileum 71
per minute in the pulse 90
per minute in the resting 314
per minute in the small 49
per minute in the urine 113
per minute is the limit 45
