pace of life slows down 170
pack in your right hand 285
pack of pall malls from 102
pack of wild hunting dogs 50
pads of your right hand 45
page to page within your 72
paid at some later date 67
paid if their books sell 57
paid in full every month 111
paid in full within five 51
paid in full within three 85
paid in these dusty ways 43
paid on such stock will 57
paid on time every month 84
paid the same basic wage 44
paid the same daily wage 48
paid to look after their 149
paid to lord clive from 41
pail of cold water from 79
pail of cold water over 199
pain at some point during 152
pain he knew would come 73
pain in their lower back 50
pain in your chest when 201
pain in your lower back 1008
pain in your right side 102
pain in your upper back 107
pain is made worse when 84
pain is most often felt 70
pain of losing loved ones 140
pain of mere shame when 43
pain of these hours upon 98
pain of what might have 71
pain of what others think 84
pain on other human beings 99
pain the fifth vital sign 44
pair of arch black eyes 77
pair of beady black eyes 142
pair of blue denim jeans 65
pair of blue suede shoes 257
pair of bold black eyes 73
pair of clear brown eyes 82
pair of coal black eyes 55
pair of cuff links made 69
pair of dark brown eyes 293
pair of deep black eyes 73
pair of deep brown eyes 110
pair of deep violet eyes 43
pair of eyes fixed upon 103
pair of eyes glaring upon 51
pair of eyes gleaming like 124
pair of eyes looking back 73
pair of eyes staring back 106
pair of eyes staring down 40
pair of eyes which have 143
pair of eyes which were 153
pair of eyes would look 40
pair of fine black eyes 200
pair of fine brown eyes 42
pair of fine leather shoes 55
pair of fine white thread 87
pair of gold earrings from 73
pair of gold spurs half 57
pair of good leather shoes 61
pair of good running shoes 88
pair of good strong arms 60
pair of good strong shoes 100
pair of good walking shoes 190
pair of great black eyes 138
pair of great brown eyes 58
pair of heavy boots upon 49
pair of heavy leather work 40
pair of heavy walking shoes 72
pair of keen black eyes 185
pair of nike running shoes 206
pair of pale green eyes 42
pair of shoes every five 56
pair of shoes every month 41
pair of shoes every three 46
pair of shoes every week 46
pair of shoes which cost 102
pair of shoes which were 176
pair of shoes which will 46
pair of shoes would cost 61
pair of shoes would have 82
pair of soft brown eyes 204
pair of soft leather shoes 90
pair of swinging doors into 97
pair of these birds from 48
pair of these birds have 140
pair of these birds made 55
pair of these birds were 306
pair of these birds will 90
pair of thick short arms 92
pair of very black eyes 53
pair of very large dark 163
pair of very sharp eyes 66
pair of warm brown eyes 104
pair of worn black shoes 70
palm of their right hand 184
palm of your right hand 4198
palm the young witch knew 78
park is open daily during 58
park is open daily from 1921
park is open seven days 80
part at least based upon 40
part by high winds during 55
part in bringing about many 40
part in bringing about peace 94
part in bringing about some 66
part in bringing about such 546
part in bringing about their 116
part in bringing about these 406
part in bringing about those 92
part in bringing about what 71
part in bringing about your 40
part in their daily life 296
part in their social life 211
part in these civil wars 42
part in your daily life 100
part is like every other 41
part of army group north 96
part of army group south 333
part of cash flows from 74
part of clean sharp sand 53
part of gaul which lies 264
part of good nursing care 79
part of great slave lake 403
part of india shall cease 55
part of india under their 49
part of india where there 76
part of india which lies 199
part of india would have 74
part of land where flax 49
part of life which least 53
part of life which lies 178
part of living under such 90
