penal institution from which he 52
people everywhere were talking of 47
people experience some level of 54
people experience their lives as 119
people sacrificed their lives in 51
people understand more about the 97
people understand their place in 114
phase transitions take place in 62
place relatively soon after the 70
press conference during which he 396
press conference during which the 55
press conference held after the 259
press conference just after the 60
press conference soon after the 128
press conference took place at 99
press conference took place in 128
press conference took place on 100
