painfully made my way back 43
painfully rose to his feet 118
panegyric went on with more 100
panoramic view of new york 516
paperback book in his hand 121
paragraph from the new york 303
paragraph made by one such 185
paramount duty of man upon 43
parliament been at that time 58
parliament were at that time 55
particles acting on each other 190
particles have so far been 43
particles move up and down 464
particles moving up and down 42
particles used in this work 101
partisans even if they were 62
passengers fled the car when 55
passengers moving up and down 42
passengers were by this time 81
passengers will in all ways 50
passionate help of her feet 43
passionate kiss on her lips 156
passionate kiss on his lips 116
passionate look in his eyes 49
passionate love of his life 54
passionate love to each other 130
passionate love to his wife 99
passionate tears in her eyes 69
patiently heard in this suit 74
patiently till he was ready 41
patriotism during the war years 88
peacefully gave up his soul 40
peacefully next to each other 116
peculiarly rich in this kind 51
pedagogue when he got into 44
penalties used to put down 53
penetrate into the real meaning 97
penetrating grip of his hand 197
penetrating look in his eyes 231
perceived nothing on his back 45
perceived only by our ideas 116
perceived some of them knew 109
perceived what he had done 110
percussion note on one side 40
perfected into an art form 43
perfection even in this life 44
perfectly able to get along 56
perfectly clear in her mind 327
perfectly clear in his mind 465
perfectly clear in its main 47
perfectly clear in its meaning 88
perfectly clear in this case 69
perfectly clear of each other 43
perfectly clear to him what 79
perfectly clear to his mind 122
perfectly clear to you what 56
perfectly clear to you when 46
perfectly flat on his back 54
perfectly flat on one side 47
perfectly free at any time 54
perfectly free to act upon 45
perfectly free to say what 81
perfectly good in his best 40
perfectly holy in this life 266
perfectly just to each other 281
perfectly knew the old lost 119
perfectly like to each other 49
perfectly made up her mind 55
perfectly made up his mind 66
perfectly open to that great 52
perfectly ready to hear your 123
perfectly safe in doing what 65
perfectly sane in all other 47
perfectly sane on all other 79
perfectly sure of being able 42
perfectly true to each other 44
perfectly well at that time 65
perfectly well by this time 141
perfectly well in her health 55
perfectly well in that part 47
perfectly what he has done 55
perfectly what he was saying 89
perfectly what he was trying 40
performed during the war years 65
performed most of his work 84
performed much of his work 41
performed much of this work 44
performed nothing in this kind 50
performed once in ten years 42
performed only on one side 114
performed over the dead body 49
performed prior to and during 137
performed prior to that date 67
performed some of his best 46
performed some of his great 40
performed some of his most 424
performed well in this role 47
performed well on this task 90
permanent grin on his face 88
permanent home in new york 338
permanent mark on his mind 41
permanent move to new york 64
permanent part of her life 747
permanent part of his face 60
permanent part of his life 1198
permanent part of his work 68
permanent part of our life 113
permanent risk of bad faith 69
permanent scar on his face 49
permanent work of this kind 41
permission from the east india 165
permission from the head cook 58
permission from the new york 2754
permission must be had from 66
permitted even to set foot 42
permitted only if they were 82
permitted south of that line 50
perpetual bond of our union 114
perpetual grin on his face 153
perpetual peace is not only 115
perpetual teasing of too much 43
perpetual thorn in his side 183
perplexed look in her eyes 147
perplexed look in his eyes 83
perplexed look on her face 1569
perplexed look on his face 3034
perplexed paths of this drear 249
persevere when the going gets 106
persisted down to our time 49
persisted till he had what 41
personage left as that same 52
personage says or does such 130
personnel during the war years 66
perspired till the sun went 96
persuaded some of our young 69
persuaded there is not such 47
perturbed look on her face 41
perturbed look on his face 203
pervasive theme of this book 75
petitioner only by his size 252
petrified look on his face 48
petrified truth is that utah 87
phenomena have as yet been 42
phenomena have so far been 66
phenomena roll up and down 45
phenomena such as thai boxing 83
physicians gave up all hope 210
physicians tell us that there 41
physicians were at that time 57
plaintive look on his face 159
plaintive note in his rising 68
plaintive songs of all these 91
plaintive tale of his lost 118
plantation from the year when 58
plantation lies at its edge 60
plastered down on each side 110
plausible theory is that these 43
pleasanter book of its kind 40
pleasantly even as they speak 43
plundered some of our good 58
polarized along the long axis 237
policeman came in and said 54
policeman came to our door 45
policeman came up and said 112
policeman came up and told 54
policeman held up his hand 709
policeman pacing up and down 44
policeman trod on his foot 51
political base in his home 70
political base in new york 85
political bone in her body 45
political bone in his body 138
political boss in new york 59
political boss of new york 289
political club in new york 49
political fact of our time 472
political faith in his time 114
political form of this rule 65
political ideas at that time 61
political ideas at this time 161
political ideas of any kind 43
political ideas of his time 157
political ideas of one were 47
political ideas of our time 89
political ideas of that time 57
political life at that time 303
