painting love 90 parlor from 42
partly wood 41 passed what 50
passed into 56 passed must 52
passed from 52 passed more 45
passes from 46 person from 52
person from 53 person over 102
pewter into 45 picket cloth 60
pickup guns 42 picnic were 106
pirate such 47 planning years 102
played like 41 pleased their 85
policy making 49 policy making 360
pollen from 48 pollen from 156
pounds among 163 praise vice 112
pretty ways 93 pretty lies 71
priest face 56 profit care 50
proper their 47 public gain 47
public life 110 public making 262
public from 42 public life 64
public ends 122 public gain 2218
public making 54 public will 134
public down 114 public years 55
public such 174 public their 44
public into 49 public over 113
public when 72 public anti 60
public most 46 public good 44
public making 536 public even 42
public life 85 public prior 58
public into 55 public life 60
public years 135 public from 84
public just 40 public among 52
public from 45 public vice 49
public worth 40 purely army 57
