pairing single afferent volleys with 97
parts were fastened together with 129
party have declared against you 52
party were awakened against them 148
people have children because they 72
people have frequent contact with 51
people have problems because they 73
people have provided support and 40
people have reported success with 47
people into intimate contact with 40
people make mistakes because they 52
people must delegate persons with 82
people their splendid lessons for 50
people were arrested because they 56
people were conspiring against him 98
people were punished because they 41
people were selected because they 47
people were seriously injured and 171
people will probably justify him 249
place some distance between them 91
place such barriers between them 41
plans were actually carried out 70
playing their innocent gambols and 58
plays were specially written for 94
point more strikingly evinced than 59
pouring forth heartfelt praises for 77
power over internal affairs and 42
power over revisions desired for 64
pride were exchanged between them 76
putting more distance between them 340
putting some distance between her 65
putting some distance between him 65
putting some distance between them 578
putting some distance between you 65
