pad knee 45 pan been 52
pan pans 53 par time 266
par other 464 par such 124
par bond 122 par less 267
par cent 51 path been 73
path away 81 path from 71
path there 129 path been 80
path left 60 path been 127
path just 75 path made 50
path once 70 path trod 41
path been 48 path trod 73
path next 57 path been 129
path been 54 path their 224
path tread 41 path been 48
path down 54 path down 52
pay rate 63 pay side 46
pay their 43 pay come 505
pay other 86 pay wife 58
pay other 65 pay ever 44
pay these 72 pay nose 51
pay wife 55 pay when 59
pay come 288 pay fall 327
pay month 64 pay week 44
pay want 72 pay york 57
pay into 123 pay these 218
pay york 43 pay form 40
pay kind 168 pay their 83
pay gain 148 pay land 82
pay land 51 pay part 44
pay arms 701 pay rate 79
pay less 169 peak nose 43
peg wife 87 pen down 133
pen hand 108 pen hand 355
pen used 59 per length 131
per york 101 per hour 51
per unit 99 per unit 212
per york 68 per time 48
per time 53 per york 357
per used 72 per will 57
per coal 4499 per fuel 276
per steam 130 per wood 112
per kind 44 per body 256
per sold 46 per steam 108
per india 51 per acre 42
per unit 62 per yard 48
per york 123 per time 42
per time 589 per time 136
per case 87 per date 215
per date 87 per loss 65
per bond 65 per iron 154
per were 79 pew been 70
pie face 69 pig hind 49
pin less 74 pit feet 90
pit been 83 pit been 71
plea side 45 poem been 78
poem what 54 poem mind 40
poem been 120 poem just 171
poem sent 56 poem just 55
poem only 105 poet other 42
poet says 49 poet part 72
poet there 58 poet when 66
poet left 65 poet name 93
poet diary 169 pop time 90
pot been 144 pot other 304
pot from 86 pox lungs 54
pox face 94 pup show 238
put been 96 put mouth 139
put mouth 636 put worth 42
put feet 77 put other 370
put eyes 262 put eyes 360
put into 51 put other 74
put feet 42 put just 42
put legs 119 put feet 147
put legs 212 put here 83
put take 66 put hand 134
put hand 124 put side 95
put face 47 put hair 44
put when 96 put what 55
put face 86 put lips 105
put face 43 put tone 40
put over 129 put mule 404
put pony 233 put very 93
put other 95 put mouth 81
put wine 473 put face 96
put mouth 1107 put mouth 4130
put mouth 233 put mouth 81
