pad is used under the 42
pang of live flesh in 40
pang of losing sight of 41
pan in cold water to 99
pan of cold water in 112
pan of cold water on 172
pan of cold water or 56
pan of cold water to 356
pan of warm water in 83
pan of warm water on 101
pan of warm water or 63
pan of warm water to 155
par or face value in 55
par or face value is 154
par or face value of 2136
par or face value or 231
path at least equal to 58
path at some point in 41
path in life would be 48
path is also known as 87
path is also shown in 56
path is there where no 266
path is very close to 57
path is well known the 50
path of duty might be 68
path of duty seems to 53
path of duty under the 40
path of duty which he 95
path of duty which the 71
path of duty which we 75
path of duty would be 86
path of life which he 119
path of life which is 122
path of life which we 63
path of those seeking to 49
path of those wishing to 62
path of true piety is 91
path we have taken in 49
path we have taken is 67
path we have taken to 49
path we were about to 58
pay an early visit to 669
pay as good wages as 148
pay as high wages as 651
pay as many bills as 139
pay as many fines as 46
pay as many taxes as 82
pay as much money as 531
pay as much money to 94
pay as much taxes as 123
pay as their share of 165
pay at least equal to 96
pay at least twice as 376
pay at least twice the 161
pay at some point in 156
pay at such rates as 92
pay in lieu thereof if 101
pay in other parts of 59
pay in some parts of 124
pay in such cases if 85
pay it back after the 71
pay it back within the 52
pay it over again to 198
pay me good money to 70
pay my fair share of 52
pay my last visit to 145
pay no heed either to 62
pay no more money to 179
pay no more taxes or 72
pay no more taxes to 146
pay no other debts in 113
pay no rent could be 46
pay no rent until the 58
pay of some dozen of 63
pay or give anything of 139
pay or other forms of 1575
pay or other terms of 327
pay so much honor to 59
pay so much money as 311
pay so much money at 199
pay so much money in 68
pay so much money on 45
pay so much money or 84
pay so much money to 1051
pay the asking price of 166
pay the asking price or 56
pay the back taxes on 121
pay the back wages of 53
pay the best wages in 62
pay the bill after the 66
pay the bill until the 79
pay the bill within the 102
pay the bill would be 48
pay the book value of 50
pay the cash price of 56
pay the cash value of 116
pay the cost price of 85
pay the debt after the 137
pay the debt again to 42
pay the debt under the 40
pay the debt which he 256
pay the debt which is 264
pay the debt which the 121
pay the debt which we 80
pay the debt within the 159
pay the debt would be 85
pay the face value at 58
pay the face value in 44
pay the face value of 1686
pay the face value to 61
pay the fair price of 48
pay the fair value of 424
pay the fees which the 48
pay the fine could be 48
pay the fine which is 43
pay the fine which the 200
pay the fine within the 111
pay the full costs of 6318
pay the full price at 144
pay the full price if 70
pay the full price in 265
pay the full price of 4377
pay the full price on 50
pay the full price or 66
pay the full price to 285
pay the full share of 73
pay the full value of 4583
pay the full value to 49
pay the great price of 41
pay the hard price of 49
pay the heavy costs of 286
pay the heavy price of 462
pay the high costs of 976
pay the high price in 53
pay the high price of 2871
pay the high price the 76
pay the high price to 40
pay the high rates of 151
pay the high rents of 92
pay the huge costs of 61
pay the just debts of 210
pay the last farthing he 184
pay the last farthing of 70
pay the last honor to 45
pay the last rites of 41
pay the last rites to 179
pay the last token of 162
pay the last visit to 71
pay the loss which the 47
pay the most money to 64
pay the ongoing costs of 47
pay the other costs of 45
pay the other party or 41
pay the other party the 193
pay the other party to 53
pay the poll taxes of 95
pay the poor people as 52
pay the rent after the 74
pay the rent fixed by 47
pay the rent under the 92
pay the rent until the 122
pay the rent which he 40
pay the rent which is 53
pay the rent which the 301
pay the rent while he 53
pay the rent while the 42
pay the rent within the 60
pay the rising costs of 174
pay the said money to 355
pay the said party of 242
pay the sale price of 125
pay the same again to 59
pay the same either in 105
pay the same honor to 59
pay the same level of 455
pay the same money to 74
pay the same price as 2327
pay the same price at 112
pay the same price if 102
pay the same price in 403
pay the same price or 46
pay the same price to 325
pay the same rates as 924
pay the same rates of 237
pay the same rates on 40
pay the same rates to 60
pay the same rents as 75
pay the same scale of 50
pay the same shall be 157
pay the same share of 225
pay the same taxes as 2206
pay the same taxes on 144
pay the same taxes to 97
pay the same tithes to 42
pay the same tolls as 65
pay the same wages as 1072
pay the same wages in 44
pay the same wages to 411
pay the same within the 146
pay the seams where he 204
pay the sums which he 53
pay the tenth penny of 53
pay the true costs of 279
pay the true price of 92
pay the true value of 102
pay the union scale of 77
pay to keep track of 40
pay to said party of 201
pay to such owner or 141
pay to talk about it 41
pay to their trees of 74
pay to think about it 92
pay to wait until the 120
pay to your order the 56
peak at some point in 54
peak in these mills is 135
peak is also known as 47
peak is very close to 142
peak of their power at 47
peak of their power in 332
peak of their power the 54
peak or horn marks the 58
pen in hand allow me 53
pen in such works as 114
pen to draw lines on 46
per ml were added to 84
pin in their fingers to 83
pit is sunk below the 129
pit of hell roaming to 73
pit or well under the 67
ply the same trade in 41
poem as many times as 58
poem as nothing short of 59
poem in five books on 47
poem in four books on 85
poem in three books on 111
poem is also about the 111
poem is also found in 173
poem is also known as 69
poem is less about the 47
poem is very close to 129
poem is worth quoting in 129
poem of great beauty by 80
poem on mary queen of 84
poem on these words of 45
poem or other piece of 83
poem the pied piper of 65
poet as ever lived in 76
poet at least equal to 63
poet is also aware of 51
poet is here speaking of 60
poet is well aware of 105
poet of those acres of 43
poet to know which is 47
poet to rise above the 52
pop up from under the 80
pot of cold water is 62
pot of cold water on 111
pot of cold water to 322
pot of gold beneath the 42
pot of gold under the 114
pot of gold waiting at 53
pot of gold which is 45
pot of soup boiling on 53
pot of very strong tea 88
pot to boil anything in 58
pot to boil water in 44
pus in other parts of 52
pus in such cases is 47
pus in these cases is 69
put an early period to 101
put an evil curse on 44
put an evil spell on 248
put an urge within us 56
put as many irons in 91
put as many miles as 1828
put as many people as 330
put as many people on 133
put as many people to 101
put as much force as 41
put as much money as 593
put as much money in 101
put as much power as 51
put as much space as 1295
put as much stock in 120
put as much trust in 88
put as much value on 96
put as much water as 209
put at once under the 45
put at rest under the 85
put by young girls on 44
put in clear light the 119
put in cold water to 195
put in five hours of 57
put in four hours of 167
put in good humor by 184
put in good order at 64
put in good order by 185
put in good order in 87
put in good order the 103
put in good order to 54
put in good store of 56
put in great danger of 76
put in great peril by 47
put in hand after the 224
put in hand under the 81
put in hand until the 113
put in jail under the 127
put in jail until he 230
put in jail until the 95
put in jail where he 109
put in jail while the 40
put in just below the 63
put in many hours at 130
put in many hours in 81
put in many hours of 1821
put in many hours on 224
put in many hours to 122
put in more hours at 486
put in more hours in 207
put in more hours of 652
put in more hours on 316
put in more hours to 62
put in more money to 90
put in other parts of 42
put in other words by 79
put in play again by 67
put in some calls to 87
put in some claim to 60
put in some danger of 41
put in some doubt by 49
put in some doubt of 55
put in some hours at 55
put in some hours of 91
put in some money to 57
put in some order of 92
put in some place of 65
put in some words of 46
put in such hands as 125
put in such order as 88
put in such shape as 78
put in such terms as 230
put in such words as 78
put in their claim on 97
put in their claim to 1428
put in their hands as 127
put in their hands at 42
put in their hands by 325
put in their hands the 808
put in their hands to 241
put in their hearts the 45
put in their hearts to 994
put in their minds by 41
put in their money in 42
put in their mouths by 423
put in their mouths in 52
put in their mouths the 135
put in their mouths to 223
put in their place an 109
put in their place as 318
put in their place at 103
put in their place by 1796
put in their place if 61
put in their place in 579
put in their place is 136
put in their place on 57
put in their place or 89
put in their place the 892
put in their place to 257
put in their power to 102
put in their share of 219
put in these terms by 87
put in three hours of 231
put in three months of 66
put in three times as 48
put in three times the 87
put in three weeks at 50
put in three weeks of 108
put in your hands an 41
put in your hands as 98
put in your hands by 80
put in your hands the 193
put in your hands to 55
put in your power to 51
put in your share of 46
put it away after the 52
put it away again in 86
put it away under the 187
put it away until he 85
put it away until it 65
put it away until the 217
put it away until we 64
put it away where he 58
put it away where it 209
put it back after he 44
put it back after the 73
put it back again as 102
put it back again by 41
put it back again in 545
put it back again on 150
put it back again so 44
put it back again to 61
put it back under my 54
put it back under the 939
put it back where he 597
put it back where it 2971
put it back where we 107
put it back within the 49
put it down again as 290
put it down again at 86
put it down again in 287
put it down again on 358
put it down again to 93
put it down close to 78
put it down right in 56
put it down under the 171
put it down until he 269
put it down until it 179
put it down until the 281
put it down until we 47
put it down where he 58
put it down where it 90
put it down where the 45
put it down while he 126
put it into action as 71
put it into action at 82
put it into action by 130
put it into action in 303
put it into action on 49
put it into action the 40
put it into action to 48
put it into books of 42
put it into force as 107
put it into force at 46
put it into force in 115
put it into place in 61
put it into print in 86
put it into shape to 66
put it into terms of 111
put it into water to 57
put it into words as 476
put it into words at 309
put it into words by 43
put it into words he 79
put it into words if 65
put it into words in 305
put it into words is 141
put it into words it 194
put it into words of 95
put it into words on 47
put it into words or 384
put it into words so 380
put it into words the 67
put it into words to 339
put it just after the 75
put it just under the 54
put it just where it 59
put it much later in 59
put it once again in 65
put it past either of 75
put it soon after the 62
put it there after the 45
put it there right on 50
put it there while he 55
put it very aptly in 42
put it very close to 62
put it very fully in 52
put it well within the 54
put it when asked by 47
put it when asked if 67
put it when asked to 67
put it when speaking of 136
put it when writing of 57
put it when writing to 62
put it years later in 124
put me down again in 66
put me into which of 51
put me upon killing the 152
put me upon thinking of 102
put me wise about the 46
put my arms about my 43
put my arms about the 130
put my arms round it 56
put my arms round my 311
put my arms round the 171
put my body where my 68
put my cell phone in 53
put my cell phone on 51
put my face close to 915
put my face right up 136
put my face under the 68
put my feet under the 102
put my feet where my 43
put my feet within the 74
put my fine story to 49
put my finger right on 120
put my finger under the 107
put my finger where the 543
put my foot right in 148
put my foot under the 68
put my foot within the 74
put my full trust in 93
put my hand close to 77
put my hand either to 47
put my hand right in 40
put my hand right on 143
put my hand round the 45
put my hand under it 73
put my hand under my 235
put my hand under the 775
put my hand where it 50
put my hand where the 57
put my legs under the 81
put my lips close to 199
put my lydia under the 69
put my mouth close to 463
put my neck under the 116
put my nose close to 60
put my nose where it 43
put my sole trust in 134
put no fine point on 53
put no fire under it 191
put no great trust in 62
put no great value on 83
put no more trust in 166
put no more value on 77
put no time limit on 183
put on airs about it 85
put on clean linen on 40
put on four pairs of 53
put on full alert in 42
put on full alert to 93
put on full speed to 137
put on heavy doses of 46
put on hold after the 320
put on hold pending the 431
put on hold plans to 97
put on hold since the 123
put on hold until he 105
put on hold until it 139
put on hold until the 2592
put on hold until we 72
put on hold while he 367
