pains which some famous idiot 46
paper about five inches wide 100
paper about three inches wide 74
paper might look something like 48
parts which have already been 247
parts which were thought well 70
party seeking such relief must 67
party would most likely have 43
people after their return from 147
people could ever safely rely 70
people could learn something from 49
people could take refuge from 57
people fired from behind their 50
people might have changed their 43
people might have thought were 44
people might more wisely wish 57
people never felt secure from 81
people never speak without some 40
people shall know whether their 44
people spend their entire life 90
people spend very little time 136
people whose ideas differ from 42
people would have changed their 56
people would have forced many 51
people would have looked upon 57
people would have turned away 45
people would most likely have 110
people would very likely have 83
period would ever arrive when 70
phase would last twelve years 44
piece about three inches wide 40
pined whole years amidst cooing 85
place about four leagues from 50
place about three leagues from 107
place might have looked like 54
place sprang into sudden life 60
place where such meetings were 47
place where their bodies were 161
place where their horses were 75
place where their meetings were 57
place where their orders were 181
place where there should have 135
place where these events took 43
place where these islets have 58
place where these meetings were 73
place where three rivers meet 60
place where three streams made 41
place which have already been 43
place which these rights hold 62
place would have fallen into 84
place would have looked like 76
plans which have already been 232
plans which were something like 55
plays which have already been 146
point about four inches from 42
point about three inches from 168
point which will become clear 52
point while these oppose were 79
posts which have already been 52
power could make itself felt 98
power shall have become more 83
power shall have passed away 81
power which have already been 45
power which made itself felt 82
power which other nations have 56
power would have broken down 82
power would have fallen into 59
power would have passed into 64
press which must depend upon 42
price which only trench upon 86
pride feeling what england lost 44
proxy shall take effect when 59
purging fires soon turned into 50
