pancreatic duct joins the bile 161
panelists were asked to rate 70
paragraph from which we have 82
paralysis from which he died 84
paralyzed limb fails to move 46
parasitic worm under the name 60
parchment upon which the text 54
parliament from seven to five 50
parliament took place in india 44
parliament upon nearly the same 65
particles from right to left 63
particles have about the same 143
particles have nearly the same 90
particles took place as soon 97
particles upon which it acts 292
particles were about to lose 54
particles were found to have 386
particles were given the name 63
particles were shown to have 61
passengers were asked to leave 45
passengers were moved to pity 76
passengers were putting on their 40
passengers were still in their 49
passengers were talking of nothing 47
passengers will sleep in these 101
passionate pity makes us ready 53
paternity leave after the birth 118
patiently till after the third 83
patricians were again in great 92
patricians were bound to give 44
patronize your house on some 152
penetrate into italy is like 66
penetrate into persia by land 42
penetrating rain began to fall 45
peninsula upon which the city 110
peninsula upon which the town 68
perceived some change in their 55
perceives nothing which is from 62
perception from which the mind 48
perchance there might be some 91
perchance there shall be idle 54
perfected till after the peace 116
perfection from which we have 151
perfectly calm frame of mind 54
perfectly calm state of mind 41
perfectly clean sweep of your 47
perfectly clear about the fact 79
perfectly clear holding of these 58
perfectly clear notion of what 227
perfectly clear vision of what 48
perfectly clear where we were 71
perfectly free trade in corn 161
perfectly good sense to speak 255
perfectly good sense to talk 137
perfectly good sense to think 42
perfectly well again in three 52
perfectly well aware of their 254
perfectly well aware of these 171
perfectly well aware of what 1739
perfectly well known to half 49
perfectly well known to have 100
perfectly well known to many 78
perfectly well known to some 44
perfectly well known to their 53
perfectly well known to those 194
perfectly well known to your 47
perfectly well where to find 74
perfectly well where we were 45
performed from first to last 40
performed from right to left 817
performed many kinds of work 60
performed mass while we were 52
performed their parts as well 53
performed their parts is well 114
performed their parts so well 53
permanent camp where he kept 41
permanent even after the game 48
permanent good could be done 101
permanent ones begin to grow 55
permanent peace could be made 74
permanent teeth begin to come 55
permanent teeth begin to form 71
permission from spain to send 41
permitted only under the most 87
permitted other people to think 42
permitted their atoms to fall 54
perpetual fund would it have 84
persisted even after the fall 44
personnel from egypt in july 59
personnel from which to draw 58
personnel were asked to rate 49
personnel were found to have 80
persuaded from thence to have 138
persuaded their father to send 44
persuaded will appear the same 62
persuaded your father to speak 43
phenomena among which we live 40
phenomena into which we have 41
phenomena over which we have 83
phenomena take place in time 51
phenomena taking place in these 65
phenomena there needs no other 59
physicians have given the name 44
physicians were asked to rate 145
physicians were found to have 60
physicians were willing to give 40
plaintiff must prove at least 75
plaintiff must prove by clear 260
plaintiff must prove the case 77
plaintiff need prove no more 52
plaintiff only needs to show 54
plaintiff will never be able 70
platforms from which to speak 161
platforms from which to view 58
platforms here within the last 42
platforms were fixed in their 67
plausible case could be made 892
plausible case might be made 257
poisonous when taken by mouth 54
political ends above the ends 73
political ideas began to take 76
political life after the fall 58
political life makes the love 99
political life ought to have 43
political life seems to have 146
political life since the days 53
political life since the early 73
political life since the late 62
political life tends to hide 61
political life where the fine 106
political sins seems to have 50
political star began to rise 98
political theory seems to have 57
political theory since the time 42
political theory which we have 51
political tide began to turn 99
population also seems to have 86
population ever since the days 40
population five times as great 116
population four times as great 188
population four times the size 60
population from which it came 510
population from which it drew 61
population from which the case 65
population from which the data 1158
population from which the jury 65
population from which the other 52
population from which the test 117
population from which to draw 739
population from which we draw 142
population from which we drew 125
population from which we have 182
population from which we will 54
population grew twice as fast 228
population lies within the range 106
population living under the same 40
population living within the city 173
population made under the acts 67
population many times as great 45
population many times the size 41
population must march to their 61
population stem cells in mice 96
population three times as great 323
population three times the size 106
population upon which the test 95
population upon which to draw 63
population were found to have 243
population will begin to fall 47
population will never be able 102
population will still be living 48
possessed five hides of land 155
possessed great power in those 78
possessed ideas about the game 90
possessed save under the form 78
possessed their share of truth 67
possessed their souls in peace 99
