packets for the greater ease 86
painful for the person who 67
painful than it already was 44
painful than the thought that 44
painful was the thought that 44
painted and the boards are 70
painted both in fresco and 73
painted not in fresco but 48
painted with the colors and 93
painted with the purple that 47
painted with the sacred red 103
painter and the tragic poet 47
painter and the writer are 45
painter was an italian and 55
pancreas and the spleen are 65
papilla and the dental sac 151
papists that we should fear 73
parable set he before them 136
parable that it almost can 57
parched with the summer heat 52
parents and my brother and 524
parents and my brother are 72
parents and my brother for 151
parents and my brother had 51
parents and my brother who 49
parents and my family for 95
parents and my sister and 314
parents and my sister for 202
parents and the eldest son 113
parents and the family and 45
parents and the family are 62
parents and the parent and 48
parents and the public and 58
parents and the public are 116
parents and the public for 53
parents and the public that 105
parents and the public with 45
parents and the reasons for 60
parents and the rights and 47
parents and the school and 167
parents and the school are 132
parents and the school can 112
parents and the school for 47
parents and the school had 40
parents and the school may 61
parents and the school that 43
parents and the teacher are 56
parents and the teacher can 53
parents and the values they 95
parents and to ensure that 148
parents are in charge and 84
parents are so anxious for 49
parents can be taught how 100
parents going to lament and 44
parents had in common was 40
parents had no choice but 320
parents had to remove him 43
parents may be afraid that 49
parents say the yankee was 42
parents that he should not 99
parents that the school has 47
parents that the school was 91
parents try to ensure that 48
parents try to figure out 41
parents with the result that 224
parents with the school and 51
parents with the skills and 92
parried with the remark that 40
partake both of plenty and 82
parties and of public men 71
parties and the courts are 60
parties and the courts can 93
parties and the courts with 91
parties and the extent and 52
parties and the issues are 66
parties and the nature and 145
parties and the public and 78
parties and the public are 100
parties and the public may 46
parties and the public that 109
parties and the reasons for 81
parties and to ensure that 232
parties are in accord that 94
parties are of opinion that 58
parties are on notice that 84
parties both in england and 50
parties can be better off 43
parties for the damage that 152
parties had in common was 63
parties had no choice but 118
parties had to reckon with 40
parties has so stated and 78
parties lay in ambush not 75
parties led by dudley and 54
parties may be better off 145
parties may be served with 43
parties nor the public had 42
parties that it should not 102
parties that the holder has 439
parties that the pension was 96
parties with the leeway they 60
parties with the result that 496
