pamphleteers have written on this 85
participants were allowed to use 55
participants were trained to use 44
participated from beginning to end 105
participated most largely in all 114
particularly clear example of how 390
particularly clear example of that 42
particularly clear example of this 1166
particularly fine example of his 126
particularly fine example of how 49
particularly fine example of its 52
particularly fine example of this 477
particularly good account of this 41
particularly good because of its 55
particularly good example in this 74
particularly good example is that 114
particularly good example of his 145
particularly good example of how 851
particularly good example of its 48
particularly good example of one 104
particularly good example of that 85
particularly good example of this 2957
particularly nice example of this 67
particularly rich example of this 73
particularly their relation to one 41
particularly those involving the use 342
particularly those related to his 58
particularly those related to its 56
particularly those related to sex 64
particularly those requiring the use 42
particularly well adapted to his 104
particularly well adapted to its 158
particularly well adapted to low 49
particularly well adapted to our 81
particularly well adapted to that 59
particularly well adapted to this 604
particularly well adapted to use 117
particularly well because it was 64
particularly well endowed in this 51
particularly well studied in this 90
particularly when exposed to air 43
particularly when several of them 74
particularly when suffering is for 43
perspectives were brought to bear 92
perturbations come between us and 70
philosophers have founded on this 47
philosophers have strayed so far 60
potentiometer wire because of its 123
preposterous from beginning to end 113
