pan and place over high 165
pan and springs back when 46
path for quite some time 40
path that could have been 107
path that might have been 117
path that would have been 209
path that would have made 48
path that wound away from 54
pay for equal work among 115
pay for equal work done 193
pay for equal work from 41
pay for equal work have 103
pay for equal work into 43
pay for equal work laws 113
pay for equal work means 161
pay for equal work must 103
pay for equal work were 305
pay for equal work when 75
pay for equal work will 261
pay for extra work done 98
pay for nursing home care 2229
pay out money from your 42
pay out money only upon 41
pay that would have been 373
pay was really only half 44
pen and turns away from 125
pen and write down what 60
pen and write your name 50
per day could have been 59
per day would have been 231
per head would have been 219
per man would have been 48
per ton would have been 93
per year after five years 63
per year could have been 71
per year might have been 41
per year within five years 73
per year would have been 811
pit who falls into fits 51
plea that would have been 42
poem that could have been 99
poem that might have been 158
poem that might well have 41
poem that would have been 91
poet for stealing these aerial 40
poet who might have been 107
poet who would have been 82
pry them loose from their 149
put all italy upon their 60
put all power into your 43
put any check upon these 57
put any force upon your 75
put her glass back down 42
put her hands back into 69
put her hands back over 49
put her hands over mine 220
put her hands upon tess 147
put her horse upon full 42
put her index finger into 56
put her index finger over 69
put her right back into 46
put her right foot down 91
put her right hand down 113
put her right hand into 197
put her right hand over 246
put her small foot down 40
put her small hand into 124
put her small hand over 65
put her small hand upon 122
put her small soft hand 75
put her strong young arms 81
put her whole body into 73
put her whole heart into 504
put her whole life into 73
put her whole self into 130
put her whole soul into 282
put him right back into 77
put his blood into great 48
put his brief case down 58
put his cards face down 51
put his cigar back into 69
put his fingers over hers 94
put his glass back down 123
put his glass down hard 53
put his glass down very 40
put his hands back down 44
put his hands back into 184
put his hands deep into 244
put his hands down flat 68
put his hands down into 51
put his hands flat down 43
put his hands over hers 956
put his hands over mine 186
put his hands palm down 51
put his hands upon their 64
put his hands upon thine 63
put his horse once more 136
put his index finger into 78
put his index finger over 99
put his knees well into 70
put his knife back into 73
put his large hand over 132
put his large hand upon 44
put his money back into 78
put his money into land 234
put his money into some 87
put his money into such 46
put his money into these 61
put his penis into your 94
put his right foot back 53
put his right foot down 269
put his right foot into 139
put his right foot over 40
put his right hand back 77
put his right hand down 218
put his right hand into 2478
put his right hand over 1078
put his right hand upon 257
put his right thumb into 136
put his small hand into 86
put his stick down very 65
put his strong young arms 40
put his sword back into 269
put his sword into their 69
put his watch back into 211
put his whole army into 61
put his whole body into 174
put his whole case into 40
put his whole heart into 1797
put his whole life into 455
put his whole mind into 185
put his whole mind upon 40
put his whole self into 239
put his whole soul into 1733
put its roots down into 63
put off until emil came 41
put off until next month 47
put off until next week 273
put off until some other 55
put off until such time 103
put our lives into their 76
put our whole heart into 131
put our whole self into 42
put our whole soul into 80
put that money back into 195
put that money into their 40
put that money into your 44
put that notion into their 64
put that notion into your 326
put that power into their 49
put them right back into 94
put them under their arms 94
put them under your feet 196
put this light down here 45
put this money back into 67
put this money into their 81
put this notion into your 49
put this point even more 46
put this point very well 109
put this point well when 40
put you about very much 48
put you light years ahead 41
put you right back into 73
