package of frozen peas and 45
packets of energy that are 45
packets to ensure that they 48
pailful of melted lead had 96
painful to maggie than that 57
painful to realize that they 42
painful to recall all this 45
painted by hubert and jan 48
painted by nature with this 48
painted by raphael and his 85
painted by someone who had 135
painted in bright red and 288
painted in colors that are 58
painted in yellow and red 389
painted it inside and out 151
painted on canvas and hung 52
painted on canvas and then 52
painted the garden and all 46
painter is greater than that 51
painter of genius can not 148
painter to follow all this 51
paintings by rubens and his 57
paintings by rubens and van 101
palette of colors that you 73
panoply of rights set out 94
paradox by pointing out that 478
pardons the writer for not 87
parents by assuring them that 114
parents by implying that they 55
parents by pointing out that 93
parents is greater than that 60
parents is higher than that 47
parents of babies who are 63
parents of england with him 42
parents of fergus and his 90
parents of lesbian and gay 75
parents of pupils who are 117
parents of pupils with sen 82
parents or siblings who are 105
parents to accept that they 40
parents to assure them that 151
parents to choose for her 48
parents to ensure that they 215
parents to figure out how 46
parents to inform them that 345
parents to realize that they 160
parents to realize that this 59
parents to report that they 71
parents to supply them with 56
parried by pointing out that 90
parties in england are not 55
parties in england had long 103
parties in england who had 52
parties in europe and asia 71
parties of honest men and 60
parties of indians who had 90
parties of twelve men each 153
parties of twenty men each 107
parties on notice that they 45
parties to comply with all 56
parties to comply with any 60
parties to comply with its 93
parties to comply with this 47
parties to ensure that all 125
parties to ensure that they 172
partner of someone who has 56
partner to anyone who has 91
passage by hudson bay had 44
passage by itself does not 45
passage by pointing out that 130
passage he points out that 245
passage he quotes does not 50
passage he reached his own 70
passage is striking for its 73
passage of stools that are 57
passage of strange and new 51
passage or tunnel that led 49
passage the editor does not 42
passage to lisbon with his 63
passions of hatred and fear 186
passions so violent can now 85
patches of bright red and 42
patches of forest that are 49
patches of ground that are 47
patches of ground that had 55
patches of spruce and fir 177
patches of tinder that had 95
patches of yellow and red 211
patents to pursue all our 44
patient as someone who has 48
patient by bleeding him has 47
patient by pointing out that 41
patient is better off with 85
patient is coughing and does 67
patient is greater than that 50
patient is placed with his 368
patient is someone who has 75
patient is stable and can 76
patient is stable and has 118
patient is stable and not 60
patient is standing with his 43
patient is supine with his 98
patient is younger than age 61
patient or client and that 252
patient or client does not 58
patient or doctor does not 81
patient or family can not 46
patient or family does not 71
patient or family may not 54
patient the reasons for his 50
patient to accept his own 46
patient to become his own 40
patient to choose his own 111
patient to ensure that all 49
patient to ensure that they 51
patient to extend his arm 44
patient to follow with his 71
patient to manage his own 68
patient to realize that his 121
patient to select his own 66
patient to someone who can 106
patrons of native art now 40
pattens we picked our way 46
pattern is unique for each 108
pattern of christ and his 55
pattern of demand does not 47
pattern of demand for and 55
pattern of demand for its 52
pattern of disease and death 42
pattern of energy use and 95
pattern of events does not 40
pattern of events that can 46
pattern of events that had 101
pattern of events that has 110
pattern of events that led 117
pattern of events that was 75
pattern of events was not 71
pattern of findings did not 43
pattern of findings does not 51
pattern of findings was not 58
pattern of mutual aid and 43
pattern of sleeping and eating 98
pattern of thought that had 55
pattern of thought that has 105
pattern of thought that was 67
pattern of verbal and non 110
pattern of yellow and red 44
pattern to emerge was that 45
patties of minced meat that 67
payable on demand and are 107
payable on demand and may 75
payable on demand and not 92
payable on demand and that 49
payable on demand are far 44
payable on demand are not 43
payable on demand does not 51
payable or refund due for 447
payment in return for his 199
payment in return for its 41
payment no higher than that 55
payment of claims that are 55
payment of estate tax and 52
payment of estate tax for 79
payment of income tax and 617
payment of income tax due 166
payment of income tax for 292
payment of income tax was 92
payment to become due and 52
peasants be killed than that 63
peasants of europe and asia 54
peasants to supply them with 50
peculiar to england was that 44
peculiar to english law and 80
peculiar to itself and can 51
peculiar to itself and its 73
peculiar to itself and not 199
peculiar to itself and that 186
pedants or zealots are apt 67
penalty of faults not his 80
penalty of greater than one 50
pensions to learned men all 49
percent in africa and asia 49
percent is higher than that 41
percent of adults are not 55
percent of adults can not 43
percent of adults can read 50
percent of adults did not 44
percent of adults say that 122
percent of adults say they 145
percent of adults who are 138
percent of adults who had 81
percent of assets each year 117
percent of assets per year 259
percent of babies who are 48
percent of blacks say they 71
percent of french men and 69
percent of global gdp and 79
percent of income for all 43
percent of jewish men and 130
percent of lesbian and gay 112
percent of middle east oil 63
percent of mothers did not 51
percent of mothers who are 42
percent of mothers who had 130
percent of parity for two 54
percent of salary for each 113
percent of voters did not 46
percent of voters who had 72
percent of whites say they 76
percent of whites who had 43
percent the second year and 122
perfect as mortal man has 184
perfect in itself and then 58
perfect to pierre had long 61
perform at levels that are 68
perform in return for his 145
perform or comply with any 244
perform so poorly that they 43
perform the actions that are 121
perform the actions that they 41
perform the actions that you 53
perform the carnal act with 49
perform the duties and bear 41
perform the duties and may 78
perform the duties set out 103
perform the duties that are 354
perform the duties that had 57
perform the duties that may 56
perform the duties they are 92
perform the duties they owe 63
perform the office she had 63
perform the prayer and pay 100
perform the sexual act and 71
perform the sexual act with 235
perfume is wafted far and 42
perhaps be argued that they 101
perhaps be argued that this 372
perhaps be better for both 46
perhaps be better for him 114
perhaps be better for them 110
perhaps be better for you 174
perhaps be better that you 40
perhaps be greater than that 84
perhaps be thought that they 155
perhaps be thought that this 636
perhaps be thought that too 62
perhaps by pointing out that 107
perhaps by someone who had 44
perhaps go further and say 91
perhaps go further than this 64
perhaps go further than you 53
perhaps he merely did not 49
perhaps he misses his end 69
perhaps he prayed that god 61
perhaps he simply did not 449
perhaps he simply does not 72
perhaps he simply had not 56
perhaps he simply was not 61
perhaps he thought she was 79
perhaps he thought that his 102
perhaps he thought that she 85
perhaps he thought that they 57
perhaps he thought that this 50
perhaps he thought that was 54
perhaps in common with all 41
perhaps in return for his 56
perhaps in return for this 57
perhaps it became not one 76
perhaps it simply did not 178
perhaps it simply was not 42
perhaps my letter may lie 75
perhaps no better than that 157
perhaps no better way for 45
perhaps no better way than 75
perhaps no greater than that 208
perhaps no wonder that she 40
perhaps no wonder that they 49
perhaps no wonder that this 48
perhaps no wonder then that 44
perhaps the ablest men who 41
perhaps the better for being 130
perhaps the censor was not 194
perhaps the easiest way for 112
perhaps the easiest way out 92
perhaps the finest that has 85
perhaps the hounds are out 54
perhaps the latter did not 56
perhaps the latter two are 50
perhaps the little boy may 91
perhaps the market did not 61
perhaps the matter was not 45
perhaps the nearest one can 86
perhaps the person does not 50
perhaps the person who can 87
perhaps the person who did 65
perhaps the person who had 96
perhaps the person who has 126
perhaps the person who was 41
perhaps the sanest man and 165
perhaps the signor has not 88
perhaps the sultan may not 44
perhaps the summer fog was 116
perhaps the writer did not 57
perhaps to conceal his own 100
perhaps to ensure that they 53
perhaps to perish for its 51
perhaps to remind him that 130
perhaps we english are not 52
perhaps we should add that 348
perhaps we should ask how 62
perhaps we should ask why 74
perhaps we should let him 42
perhaps we should let them 59
perhaps we should not ask 118
perhaps we should not err 43
perhaps we should not get 74
perhaps we should not let 51
perhaps we should not now 52
perhaps we should not read 68
perhaps we should not say 207
perhaps we should not see 116
perhaps we should not try 139
perhaps we should not use 83
perhaps we should now say 124
perhaps we should say his 133
perhaps we should say its 53
perhaps we should say one 91
perhaps we should say that 5324
perhaps we should say they 114
perhaps we should say this 66
perhaps we should say too 42
perhaps we should say two 56
perhaps we should say was 60
perhaps we should say with 90
perhaps we should see this 55
perhaps we should try and 44
persist in carrying out his 73
persist in charging them with 50
persist in grieving for his 57
persons as should sue for 47
persons in england does not 87
persons in england who are 261
persons in england who had 183
persons in europe and asia 46
persons in france for his 43
persons in office had not 50
persons is better off than 137
persons is greater than that 56
persons is higher than that 91
persons of almost any age 77
persons of credit had not 89
persons of fashion who had 44
persons of flight and fear 67
persons of greater age and 50
persons of little zeal for 108
persons of mature age and 187
persons of mature age are 59
persons of mature age who 126
persons of middle age and 238
persons of middle age are 74
persons of middle age who 97
persons of school age and 89
persons of school age who 66
persons or bodies who are 111
persons or bodies who may 84
persons or events that are 54
persons or groups are not 45
persons or groups can not 47
persons or groups that are 155
persons or groups who are 640
persons or groups who can 72
persons or groups who may 202
persons or writings that are 45
persons to allege that they 66
persons to answer for any 188
persons to assist him and 41
persons to commit any act 62
persons to comply with any 95
persons to comply with this 116
persons to ensure that they 69
persons to escape than for 104
persons to realize that they 43
persons to report that they 42
persons to supply them with 60
perusal of fiction had led 69
petition is hereby set for 887
petition to review and set 197
petition to review does not 76
phalanx of sparta and that 69
phrases we employ with one 40
physics of newton and his 60
picture by pointing out that 209
picture is better than that 76
picture is greater than that 64
picture of another age and 42
picture of christ and his 339
picture of christ with his 46
picture of england and its 174
picture of events and not 46
picture of itself and its 129
picture of mozart that was 59
picture of nature and man 54
picture of reality and that 67
picture of reality does not 46
picture of reality that has 42
picture of reality that was 51
picture of someone who had 99
picture of someone who has 186
picture of someone who was 161
picture of something that can 87
picture of something that does 44
picture of something that had 68
picture of something that has 139
picture of something that they 43
picture of something that was 93
picture of something that you 107
picture of something they had 44
picture or object for each 50
pierced the castle and set 46
pierced the heavens with her 53
pierced the uproar and rang 94
pierces the clouds with its 42
pillaging the church was not 76
pillows up behind her and 42
pitched in unison with this 173
placebo in reducing binge eating 62
plainer in reasoning than that 40
plainly as fathers and men 43
plainly the doctor who had 72
planned an escape for his 63
planned to arrest him and 50
planned to comply with all 63
planned to devote all his 42
planned to ensure that all 69
planned to ensure that they 227
planned to escape with his 46
planned to invite you for 89
planned to kidnap him and 56
planned to launch its own 42
planned to murder him and 84
planned to return one day 41
planned to return with her 43
planned to travel with her 41
planned to travel with him 59
planted in wessex and east 86
platter of boiled dog for 64
players in another and are 47
pleasant by nature and not 82
pleasant thing indeed and sung 88
pleasant to handle and read 71
pleasant to record that all 56
pleasant to record that his 95
pleasant to record that one 101
pleasant to record that she 69
pleasant to record that they 96
pleasant to record that this 347
pleasant to report that this 84
pleasure in advising you that 441
pleasure in annoying our old 51
pleasure in assuring you that 1034
pleasure in carrying out his 55
pleasure in carrying them out 101
pleasure in clocks that set 44
pleasure in fighting you with 56
pleasure in managing his own 40
pleasure in pointing out and 41
pleasure in pointing out his 112
pleasure in pointing out how 79
pleasure in pointing out its 66
pleasure in pointing out that 1477
pleasure in pointing them out 121
pleasure in simple things and 52
pleasure is always with you 43
pleasure is greater than that 97
pleasure of agreeing with him 40
pleasure of another can not 177
pleasure of assuring her that 130
pleasure of assuring you that 581
pleasure of chatting with him 40
pleasure of chatting with you 89
pleasure of escaping for two 90
pleasure of fighting than for 70
pleasure of lunching with him 78
pleasure of lunching with you 103
pleasure of pointing out that 122
pleasure of searching for and 42
pleasure of spending with you 46
pleasure of touching and being 54
pleasure of visiting you and 48
pleasure of watching him die 42
pleasure of watching them die 83
pleasure of watching you die 41
pleasure the little man with 56
pleasure to accept one and 44
pleasure to advise you that 306
pleasure to assure you that 1318
pleasure to behold how all 42
pleasure to comply with his 107
pleasure to comply with this 137
pleasure to confer with you 96
pleasure to inform her that 43
pleasure to inform him that 147
pleasure to inform you that 14941
pleasure to notify you that 113
pleasure to record that his 42
pleasure to record that this 189
pleasure to remind you that 99
pleasure to render you any 202
pleasure to report that our 43
pleasure to report that they 232
pleasure to report that this 199
pleasure to supply you with 50
pleasure to travel with him 40
pledged to concur with her 128
pledged to defend our own 115
pledged to uphold law and 48
pledges to become man and 40
plotted as deeply for his 84
plotted to murder him and 40
plucked the points off his 63
plunder or murder all they 67
pointed at something with his 46
pointed the cannon with his 72
pointed to myself and then 56
pointed to something that was 51
pollute the island with her 65
polygon is greater than that 115
polygon of forces for each 77
polymer is greater than that 56
polymer is higher than that 151
pontiff to depose kings for 85
popular in england and had 40
popular in england and was 139
popular in europe and are 77
popular in europe and asia 460
popular in europe and has 46
popular in europe and that 41
popular in europe and was 99
popular in europe but has 50
popular in europe but not 45
popular in europe than they 48
popular in france and was 74
portions of africa and asia 580
portions of claims that are 291
portions of europe and asia 1001
portions of fields that are 48
portions of indiana and ohio 49
portions of matter can not 170
portions of memory that are 50
position as office boy with 70
position as someone who has 83
position at common law and 153
position at common law has 47
position at common law was 172
position by claiming that they 81
position by marrying his son 44
position by nature and art 63
position by pointing out that 2746
position he filled for one 46
position he filled for six 96
position he filled for ten 44
position he filled for two 450
position he served for two 82
position he shared with his 71
position in accord with his 53
position in azimuth and thus 56
position in christ and our 55
position in england was not 75
position in europe and asia 161
position in europe and for 41
position in europe and her 83
position in europe and its 118
position in europe are due 54
position in europe than she 44
position in europe was not 73
position in greater east asia 43
position in itself does not 58
position in london was not 72
position in return for his 74
position is better than any 54
position is better than that 285
position is clearly set out 71
position is closed out and 46
position is greater than that 147
position is higher than that 416
position is secure and that 123
position it claims that its 51
position no better than that 295
position no higher than that 61
position of auditing his own 65
position of england and her 41
position of england was not 42
position of france and her 100
position of france and that 132
position of france was not 69
position of greece was not 50
position of leaders and law 171
position of someone who can 62
position of someone who does 67
position of someone who had 70
position of someone who has 374
position of someone who was 53
position of strength and not 192
position of strength and that 159
position of strength and with 59
position of strength that can 64
position of strength that they 51
position on issues that are 65
position or whether they are 46
position so secure that one 76
position the cursor and then 150
position the moment you try 43
position to affirm that they 46
position to affirm that this 55
position to another and that 88
position to another and then 76
position to another does not 47
position to answer that than 41
position to assert his own 45
position to assert that all 44
position to assert that his 42
position to assert that they 87
position to assert that this 68
position to assure him that 120
position to assure them that 126
position to assure you that 780
position to attain this end 47
position to choose his own 117
position to comply with all 56
position to comply with his 57
position to comply with this 142
position to confer with her 57
position to decide how far 163
position to defend his own 48
position to defend its own 76
position to defend our own 71
position to demand and get 88
position to demand that his 59
position to demand that they 90
position to devote all his 84
position to enable her head 52
position to ensure that all 95
position to ensure that his 78
position to ensure that its 82
position to ensure that they 173
position to ensure that this 49
position to figure out how 111
position to follow his own 60
position to further his own 288
position to impose his own 139
position to impose its own 167
position to inform him that 81
position to inform you that 458
position to insist that all 47
position to insist that they 75
position to manage his own 55
position to manage its own 48
position to oblige that one 54
position to pursue his own 61
position to pursue its own 43
position to remind them that 40
position to render any aid 41
position to select his own 49
position to supply him with 134
position to supply its own 66
position to supply them with 141
position to supply you with 139
position to tackle them with 51
possess by nature all that 53
possess in common with all 416
possess in common with each 43
possess in common with him 66
possess in common with man 106
possess in common with men 56
possess in common with our 75
possess in common with them 106
possess in common with you 57
possess the skills that are 96
potency is greater than that 52
pounded so loudly she was 66
pounded so loudly that she 76
pounded the ground with her 87
pounded the ground with his 214
pounded the pillow with her 58
pounded the podium with his 52
poverty by itself does not 50
poverty by pointing out that 42
poverty in africa and asia 40
poverty in itself does not 64
poverty is greater than that 147
poverty is higher than that 46
poverty of christ and his 521
poverty of england does not 43
praised by another for any 41
praised by cicero for his 46
praised it highly for its 62
praised or blamed for being 76
praised or blamed for his 162
praised or blamed for its 41
praised or blamed for our 141
praised or blamed for that 84
praised or blamed for them 130
praised or blamed for this 65
praised the artist for his 43
praised the editor for his 42
praised the school for its 60
praises of apollo all his 49
praises of christ can not 88
praises of famous men are 330
prayers of nations are for 49
preached by christ and his 439
preached the gospel that for 67
preached the gospel with all 60
preached the sermon that day 45
preacher of untruth who does 47
preceding the fiscal year for 525
preceding the jewish new year 57
preceding the school year for 87
precious an object can not 50
precious an offering for any 100
precise we should say that 107
predict the changes that are 69
predict the changes that may 44
predict the future and that 221
predict the future and then 57
predict the future and thus 81
predict the future does not 67
predict the future for them 53
predict the future with any 672
preface he points out that 105
preface he states that his 75
prefers to choose his own 73
prefers to follow his own 89
prefers to remain with her 92
prefers to remain with his 67
prefers to select his own 81
prelate of durham had his 76
premise by pointing out that 106
premise to strike out both 40
premium is higher than for 63
premium is higher than that 45
prepare an agenda for each 87
prepare in earnest for our 74
prepare the agenda for each 100
prepare the building for use 46
prepare the church for its 60
prepare the client for this 51
prepare the family for his 45
prepare the ground and set 43
prepare the ground and sow 157
prepare the ground for all 233
prepare the ground for and 101
prepare the ground for any 100
prepare the ground for her 97
prepare the ground for him 253
prepare the ground for his 1184
prepare the ground for its 708
prepare the ground for new 388
prepare the ground for one 141
prepare the ground for our 349
prepare the ground for that 323
prepare the ground for them 259
prepare the ground for this 822
prepare the ground for you 62
prepare the horses with all 41
prepare the masses for this 45
prepare the midday meal for 66
prepare the modern man for 98
prepare the palace for his 52
prepare the prince for this 80
prepare the proper path for 45
prepare the public for his 253
prepare the public for this 113
prepare the public for war 42
prepare the spirit for its 67
prepare the system for its 66
prepare the system for use 57
preparing the ground for all 110
preparing the ground for and 56
preparing the ground for any 65
preparing the ground for her 82
preparing the ground for him 47
preparing the ground for his 955
preparing the ground for its 349
preparing the ground for new 265
preparing the ground for our 114
preparing the ground for that 136
preparing the ground for them 106
preparing the ground for this 372
preparing the pathway for his 83
preparing the public for his 48
preparing to attack him and 47
preparing to attack him with 118
preparing to attack with all 48
preparing to comply with this 44
preparing to depart for his 85
preparing to depart for new 56
preparing to depart with his 41
preparing to embark for his 49
preparing to embark for new 117
preparing to follow with his 69
preparing to launch his own 70
preparing to launch its own 43
preparing to resume her seat 50
preparing to return with his 46
preparing to return with them 40
preparing to second him with 84
preparing to strike him with 46
present at almost any age 41
present at levels that are 155
present at levels too low 154
present by pointing out that 102
present do little for you 60
present he needed all his 55
present in africa and asia 107
present in almost all his 157
present in common use for 52
present in europe and asia 116
present in excess and that 93
present in france for all 40
present in middle age with 117
present in person and was 48
present in person and with 56
present in person with his 255
present in person with you 43
present in return for his 684
present in return for that 174
present in spirit with fat 399
present is greater than that 150
present it appears that both 40
present it appears that they 41
present it appears that this 88
present my readers with one 84
present of powder and lead 58
present or absent and are 44
present or absent for each 183
present or whether they are 115
present the public with new 77
present the public with one 269
present the reasons for his 62
present the reasons for our 45
present the reasons for this 247
