packed australia 42 packed military 44
panacea ailments 81 panacea economic 198
panacea maladies 51 panacea problems 2255
panacea sufferings 47 panacea troubles 182
papers directed 128 papers obtained 73
papers withdrawn 50 papers analysis 40
papers problems 56 papers interest 143
papers required 73 pardon extended 52
pardon obtained 216 parent daughter 182
parent children 45 parent expected 107
parent required 44 parent children 85
parson ceremony 81 parted property 81
parted infinite 49 parted kindness 97
partial complete 499 partly disgracing 65
partly minister 206 passed required 89
passed recalled 191 passed holidays 57
passed followed 44 passed everyone 85
passed morosely 53 passed thousands 57
passes followed 59 passion humanity 136
passion believes 50 passion imagined 66
passion singularly 97 patching required 66
patent enforced 77 patent extended 75
patent obtained 886 patent obtained 1001
pathway excluded 55 payers excluded 76
payoff obtained 59 peasant humblest 42
peeled julienne 45 peeled quarters 210
pencil ordinary 77 peopled positive 158
peoples achieved 42 peoples expected 77
peoples essential 43 peoples darkness 146
peoples subjects 52 peoples darkness 52
periods rhetoric 94 periods compared 116
periods regarded 69 periods sensible 46
perish attempting 132 permit approach 132
permit restrain 50 permit obtained 121
permit daughter 47 permit extended 42
permit withdrawn 86 person purposes 48
person enforced 160 person abstract 50
person attorney 42 person property 98
person property 45 person required 186
person distinct 47 person accepted 108
person admitted 143 person affected 72
person arrested 244 person assigned 70
person awakened 72 person compared 103
person conveyed 83 person declared 53
person depended 62 person deprived 697
person detained 193 person directly 50
person divorced 53 person employed 76
person entirely 53 person examined 136
person excluded 134 person executed 47
person expected 1095 person graceful 43
person indicted 103 person infected 48
person mistaken 79 person observed 55
person obtained 177 person offended 44
person otherwise 50 person presumed 76
person properly 87 person punished 526
person regarded 366 person replaced 59
person required 292 person restored 46
person shielded 45 person supposed 64
person believes 52 person computer 67
person purposes 103 person associate 64
person composed 42 person accepted 56
person admitted 81 person arrested 79
person conscious 107 person deprived 351
person detained 148 person employed 66
person entirely 44 person entitled 48
person excluded 51 person executed 46
person prepared 44 person punished 397
person regarded 63 person required 234
person restored 47 person suitable 69
person anxiously 48 person specific 51
person inflicting 64 person observed 47
