pains rewarded 42 panic confined 113
paper probably 59 paper invented 86
paper attended 81 paper prepared 673
paper purposes 62 paper american 41
paper crumpled 112 paper exchanged 62
paper fastened 54 paper ingeniously 63
paper prepared 252 paper produced 40
paper accepted 59 paper crumpled 43
paper prepared 71 paper specially 62
paper grounded 76 paper received 98
paper industry 111 parts relevant 59
parts assigned 50 party numerous 105
party acquired 42 party informed 71
party acquired 79 party attended 95
party execution 97 party informed 85
party attended 41 party arrested 51
party attacked 61 party banished 71
party captured 72 party detached 73
party expelled 53 party business 145
party extolled 61 party deceived 57
party deprived 67 party involved 1991
party presence 68 pathos dramatic 77
peers executed 43 people creatures 61
people officers 44 people problems 48
people business 40 people purposes 43
people purposes 53 people restless 46
people continue 44 people strangers 59
people inclined 44 people numerous 49
people tolerant 62 people business 56
people valuable 44 people questions 50
people conscious 110 people conscious 91
people affected 46 people deprived 61
people ignorant 58 people attention 316
people accurate 102 people conscious 41
people friendly 150 people numerous 67
people religious 50 people educated 89
people equipped 46 people informed 658
people prepared 171 people conscious 41
people valuable 224 people positions 42
people addicted 43 people attached 73
people inclined 105 people occupied 191
people disposed 42 people questions 85
people occupied 45 people disagree 74
people conceive 57 people remember 114
people children 100 people troubles 53
people decisions 125 people progress 42
people straight 62 people dispense 52
people emotional 43 people personal 53
people problems 240 people problems 65
people consider 56 people remember 47
people threatened 69 people adequate 112
people blankets 45 people children 76
people inclined 44 people seriously 77
people directly 47 people affected 48
people assisted 109 people confined 46
people educated 113 people entirely 66
people informed 82 people invented 170
people involved 105 people prepared 251
people properly 105 people directly 66
people complete 103 people believed 51
people attention 71 people attention 189
people emphasis 158 people programs 90
people activity 77 people american 164
people business 52 people economic 169
people industry 472 people province 41
people employed 153 people expected 64
people possible 52 people employed 164
people excluded 51 people involved 83
people properly 56 people mistaken 55
people suffered 283 people continue 41
people actually 47 people deprived 43
people directly 40 people entirely 47
people mistaken 62 people prepared 61
people supposed 54 people dangerous 42
people judgment 56 people involved 87
people questions 91 people equipped 203
people informed 156 people citizens 44
people problems 394 people conscious 55
people impaired 397 people drinkers 62
people educated 262 people inclined 76
people involved 119 people powerful 83
people yourself 62 people decisions 201
people progress 45 people advanced 201
people affluent 69 people directly 42
people disposed 114 people educated 302
people flexible 46 people inclined 164
people involved 249 people powerful 154
people religious 122 people severely 68
people talented 117 people tolerant 40
people affected 1562 people critical 84
people dangerous 46 people despised 93
people directly 327 people inclined 46
people involved 343 people severely 50
people tenacious 66 people casually 40
people partially 82 people slightly 111
people somewhat 43 people attention 83
people employed 44 people advanced 92
people critical 59 people desirous 40
people involved 59 people religious 141
people sexually 106 people talented 163
people adjusted 154 people disposed 122
people educated 547 people equipped 48
people informed 974 people prepared 128
people ladyship 40 people questions 188
people questions 130 people children 59
people children 44 people products 195
people products 47 people products 109
people decisions 227 people suffered 43
people abducted 99 people absorbed 48
people accepted 70 people actively 99
people admitted 242 people affected 296
people arrested 1655 people assigned 155
people attached 50 people attacked 203
people awakened 60 people banished 177
people baptized 310 people betrayed 44
people bitterly 46 people brutally 45
people bypassed 46 people captured 482
people children 115 people citizens 42
people confined 112 people crippled 45
people critical 53 people deceived 177
people declared 112 people deported 319
people deprived 561 people detained 334
people diagnosed 354 people directly 202
people disabled 66 people divorced 167
people educated 590 people employed 499
people enslaved 295 people estranged 42
people excluded 328 people executed 297
people expected 68 people expelled 396
people forcibly 218 people formerly 55
people friendly 158 people governed 50
people harassed 80 people homeless 56
people infected 220 people informed 82
people initiated 98 people inspired 82
people interned 129 people involved 5405
people isolated 89 people murdered 470
people nurtured 51 people offended 58
people outraged 55 people patients 59
people poisoned 79 people practicing 48
people prepared 118 people promised 177
people promoted 82 people properly 50
people publicly 54 people punished 104
people recently 175 people redeemed 45
people referred 114 people regarded 42
people rejected 160 people rendered 173
people reported 74 people resident 237
people schooled 62 people selected 210
people seriously 79 people severely 122
people sexually 127 people sheltering 52
people silenced 42 people specially 68
people squeezed 53 people stationed 41
people stranded 104 people strangers 113
