packing had preceded the master 89
pages are designed to assist 57
pages are intended to convey 63
pages are intended to supply 57
pains and attention to remedy 48
pains and pleasures of another 170
pains and pleasures of matter 87
pains are provoked by demons 49
pains ill bestowed in studying 48
paint his portrait in detail 45
pairs are obtained to define 47
panel may complete the record 48
panel may condition the relief 64
panel may exercise the powers 223
paper has answered the design 47
paper has examined the impact 51
paper was followed by another 119
parks and reserves in africa 44
parts are infinite in number 148
parts are selected at random 209
parts that comprise the system 42
party and accepted by another 82
party had perished in battle 80
party may disclaim or modify 41
party that intended to remain 64
party was attacked by indians 466
party was composed of twelve 43
party was composed of twenty 47
party was composed of various 44
party was entitled to demand 43
party was entitled to notice 120
party was expected to arrive 57
party was expected to return 42
party was followed by another 41
party was prepared to accept 230
party was prepared to follow 41
party was prepared to remain 40
party was required to submit 44
party was returned to office 259
party who acquired it almost 49
party who retained the expert 244
party with materials so scanty 43
pause and consider the matter 138
pause and consider the nature 110
pause that followed it seemed 81
pause was followed by another 54
peers and prelates of france 53
peers with moderate or severe 66
penis its condition of tension 75
people age eighteen to twenty 62
people and amounted to wanton 95
people and destroys the spirit 52
people and powerful in riches 251
people and preachers to insult 49
people and thousands of cattle 69
people are admitted to mental 51
people are affected by changes 45
people are allergic to animal 40
people are allergic to peanuts 73
people are allergic to pollen 152
people are assigned to groups 63
people are attached to public 77
people are believed to suffer 51
people are conducting an active 50
people are deprived of access 59
people are desirous to borrow 114
people are destined to become 98
people are destined to remain 51
people are disposed to accept 77
people are disposed to regard 61
people are employed in carrying 48
people are employed in public 60
people are employed in various 83
people are enforced to burden 70
people are entitled to choose 65
people are entitled to decent 75
people are entitled to decide 54
people are entitled to demand 79
people are entitled to expect 368
people are entitled to something 86
people are entitled to special 65
people are equipped to handle 56
people are expected to accept 171
people are expected to adhere 76
people are expected to adjust 54
people are expected to admire 60
people are expected to arrive 52
people are expected to assume 68
people are expected to attend 471
people are expected to become 150
people are expected to behave 760
people are expected to choose 57
people are expected to follow 383
people are expected to manage 47
people are expected to relate 51
people are expected to remain 101
people are expected to retire 54
people are expected to return 45
people are expected to settle 42
people are expected to travel 59
people are inclined to accept 364
people are inclined to answer 42
people are inclined to assume 103
people are inclined to become 119
people are inclined to behave 50
people are inclined to choose 44
people are inclined to define 41
people are inclined to excuse 83
people are inclined to extend 98
people are inclined to follow 109
people are inclined to forget 217
people are inclined to ignore 57
people are inclined to prefer 58
people are inclined to regard 367
people are inclined to reject 55
people are inclined to resist 48
people are involved in deciding 40
people are involved in managing 43
people are involved in planning 406
people are involved in public 62
people are involved in something 54
people are involved in various 91
people are prepared to accept 1204
people are prepared to assume 51
people are prepared to become 47
people are prepared to commit 54
people are prepared to defend 77
people are prepared to devote 71
people are prepared to endure 63
people are prepared to follow 124
people are prepared to invest 132
people are prepared to listen 108
people are prepared to modify 41
people are prepared to suffer 60
people are prepared to travel 305
people are required to accept 56
people are required to attend 101
people are required to behave 46
people are required to devote 43
people are required to follow 50
people are required to handle 54
people are required to obtain 43
people are required to report 55
people are selected at random 970
people are summoned to prayer 42
people are supposed to become 76
people are supposed to behave 440
people are supposed to choose 52
people are supposed to follow 118
people are supposed to govern 44
people are supposed to remain 51
people are supposed to suffer 51
people are unlikely to accept 78
people are unlikely to become 91
people doing business in mexico 42
people for comments on earlier 46
people for handfuls of barley 284
people had increased in number 49
people had threatened to attack 79
people has increased in recent 56
people his superiors in virtue 52
people long enslaved to attain 67
people may continue to strive 44
people may remember the second 64
people not talented to deviate 42
people that produces the fruits 190
people too numerous to mention 463
people who actually do something 42
people who answered the survey 89
people who assisted in various 60
people who attended the church 129
people who attended the market 85
people who attended the meetings 284
people who attended the public 55
people who attended the school 131
people who attended the sunday 65
people who attended the training 85
people who believed in christ 96
people who believed in ghosts 48
people who believed in something 77
people who challenge the status 55
people who complete the survey 53
people who continue to suffer 120
people who contract the disease 140
people who designed the system 60
people who employed it solely 59
people who exercise it through 275
people who followed the teachings 41
people who happened to reside 53
people who identify as lesbian 190
people who intended to resell 47
people who intended to settle 50
people who invented the poison 41
people who occupied the houses 44
people who occupied the middle 102
people who occupied the valley 43
people who overthrew the empire 73
people who survived the atomic 40
people with emotional or mental 44
people with equality of status 84
people with moderate or severe 206
people with moderate to severe 655
people with physical or mental 1112
period any capacity to render 72
period are depicted in figure 41
period for purposes of applying 79
period for purposes of section 63
period not expected to exceed 69
period that followed the battle 61
period that followed the french 108
period that followed the second 224
period that includes an entire 303
period they occupied the valley 50
period was extended to twelve 56
period was extended to twenty 87
period was followed by another 148
period was suffered to elapse 43
pests and carriers of disease 153
phase and direction of travel 61
phase are depicted in figure 41
phase was followed by another 73
piety was attested by various 82
pimps and buffoons in fashion 84
pipes and channels to supply 105
pipes for sprinkling the guests 76
pitch and loudness of sounds 78
place and attitude as before 43
place and authority of warden 58
place and eminence as itself 42
place and performs the office 48
place and property as before 45
place and returned to england 44
place and scarcity in another 60
place being occupied by another 51
place being supplied by another 66
place being supplied by colder 41
place for collecting the sample 47
place for discussing the issues 41
place for discussing the various 109
place for exercise of horses 59
place for portraying the mental 94
place for students to record 110
place for suggesting the topics 49
place her children in foster 51
place his children at school 79
