cables utilized 54 cancer reported 99
carbon prepared 49 carbon replaced 40
carbon retained 44 career troubled 58
career blighted 51 career entirely 40
career finished 90 career possible 71
career prolific 48 carious restored 70
causes advanced 61 causes assigned 564
causes detailed 43 causes mentioned 835
causes referred 143 causes supposed 40
causes industry 99 causes thousands 50
chairs mentioned 51 changes achieved 60
changes effected 207 changes expected 43
changes foreseen 45 changes produced 68
changes effected 110 changes expected 251
changes achieved 65 changes detected 44
changes effected 1294 changes initiated 63
changes mentioned 228 changes observed 2027
changes outlined 130 changes produced 395
changes proposed 306 changes recently 87
changes recorded 111 changes referred 115
changes reported 233 changes occurred 222
changes observed 45 changes possible 102
changes produced 45 changes remarked 59
changes required 256 charms produces 85
charts prepared 83 checks mentioned 95
checks received 46 church expected 89
circle occupies 75 circle complete 50
cities mentioned 44 claims asserted 82
claims rendered 42 claims advanced 220
claims asserted 47 claims incurred 115
claims referred 50 claims rejected 63
claims rejected 52 clashing begotten 62
clause inserted 58 clothes assembly 111
clouds shredded 64 coarse evidence 63
colony banished 48 column adjusted 93
comets computed 50 comets observed 439
comets recorded 68 common powerful 51
common deprived 54 common conceive 53
common venomous 79 common affected 102
common numerous 57 common foreseen 90
common reserved 61 cotton produced 52
couple predicts 123 couple children 49
couple children 61 course followed 222
course expected 85 course followed 102
course possible 61 course attended 90
course contrary 114 course dangerous 42
course entirely 56 course followed 212
course possible 100 course suicidal 93
courts mentioned 45 courts required 82
creation produced 81 creation detailed 77
creeds received 47 crisis resolved 85
crisis expected 41 crisis resolved 65
crowns combined 83 curious recorded 88
curves obtained 146 curves obtained 54
cutoff included 80 cutter inclined 145
