campaigns cross 74 candidate would 47
candidate party 54 canonized saint 45
cardboard hands 145 cardboard hands 248
carefully allow 95 carefully spend 65
carefully place 44 carefully organ 54
carefully could 76 catchment river 101
catechizing kinds 49 cautiously never 51
celebrate brief 50 centuries isaac 49
centuries found 48 centuries known 48
centuries often 58 centuries today 40
certainly cause 44 certainly lands 89
certainly would 98 certainly about 51
certainly about 45 certainly where 68
certainly about 56 certainly option 46
certainly times 83 certainly point 42
certainly stage 42 certainly period 84
certainly point 199 certainly stage 237
certainly aside 40 certainly cases 447
certainly danger 52 certainly sense 340
certainly favor 43 certainly right 47
certainly house 46 certainly world 58
certainly world 120 certainly fatal 47
certainly scale 123 certainly which 156
certainly total 71 certainly large 54
certainly taste 41 certainly anything 46
certainly major 49 certainly chief 88
certainly major 66 certainly would 42
certainly place 121 certainly dreaming 43
certainly appear 77 certainly exist 47
certainly times 77 certainty count 72
certainty found 175 certainty never 155
certainty taken 46 certainty about 453
certainty loved 61 certainty right 924
certainty speaking 80 certainty still 67
certainty period 48 certainty never 62
certainty about 52 certainty never 53
certainty really 84 certainty right 58
certainty could 109 certainty would 258
certainty would 41 certainty would 43
certainty would 62 certainty would 155
certainty right 138 certainty never 95
certified taken 43 certified unfit 54
challenged point 289 challenges kinds 55
challenges exist 148 character place 58
character scene 79 character power 53
character which 117 character never 194
character given 40 character never 61
character easily 43 character found 94
character valid 57 character timid 87
character never 44 character today 59
character could 112 character would 109
character known 99 character times 101
character stern 54 character quite 89
character which 47 checkbook purse 124
chemicals appear 43 chemicals cause 66
chemicals occur 103 cherished bosom 146
cherished bosom 50 childhood later 54
childhood father 43 childhood mother 62
childhood later 40 childhood never 128
cigarette purse 382 cigarette breast 76
cigarette shirt 435 cigarette smoking 40
civilized anything 44 clambered chair 47
classroom world 456 clergymen agree 50
cloudless shone 90 clustered roofs 127
coincided views 121 coincided season 83
coincided point 80 coincided which 59
coincided period 113 coincides views 87
coincides where 122 coincides season 284
coincides point 68 coincides point 130
coincides season 61 coincides point 73
coincides level 82 coincides value 130
coincides found 50 coincides given 152
coincides which 82 coincides period 79
coincides total 116 coincides season 82
collapsed place 70 colleagues about 41
colleagues given 45 colleagues never 56
colleagues share 183 collected round 261
collected trade 111 collected cross 106
collected coast 44 collected works 94
collected chief 55 collected exact 66
collection trade 125 collection cross 179
collection method 103 collisions atoms 305
colonists world 44 columnist diego 110
comeliest kingdom 72 comforted cried 49
comforted grief 48 comforted could 40
comforted grief 44 comforter abide 48
commanded aside 87 commanded aside 224
commanded still 75 commanded false 47
commanded lords 57 commanded shall 56
commanded woman 47 commanded haste 82
commanded aside 226 commenced pending 62
commended mother 42 commended thomas 62
commented point 51 commented found 126
commented given 41 commented known 52
commented never 843 commented often 45
commented taken 43 commented tried 41
commented happy 79 commented quite 42
commented sorry 50 commented still 63
commented taken 55 commented about 61
commented amazing 44 commented easier 117
commented often 69 commented quite 103
commented rather 63 commented really 46
commented still 52 commented could 65
commented would 44 commercial ranks 44
commercial method 46 commission given 46
commission aside 43 committed which 102
committed house 70 committed worst 49
committed state 45 committed which 50
committed keeping 93 committed crime 119
committee ensuing 55 committee about 46
committee never 108 committee about 110
community world 47 community sense 57
community sense 59 community force 40
community about 69 community needs 91
community large 64 community about 43
community about 47 community human 45
community based 55 community bound 49
