call when 54 call from 82
came took 44 came from 43
came only 46 came were 63
came their 60 came were 117
came having 49 care their 54
care their 42 care your 229
case used 104 case been 562
case used 706 case there 150
case been 44 case been 48
case once 93 case been 53
case have 168 cash been 51
cash gets 43 cell other 54
cell made 68 cell want 177
cell want 63 city what 41
city clue 59 city from 49
city life 61 city left 108
city have 47 code hanging 231
cold what 42 come like 97
come wish 65 come have 43
come their 133 cream cream 55
