cabs have more variety than 50
call forth deep sympathy with 57
call forth love towards him 47
call forth more sympathy than 59
call some more perfect than 57
call unto their fellows and 81
call upon great britain for 195
call upon their friends and 177
call upon their members for 48
came back from america and 276
came back from america two 63
came back from america with 223
came back from baghdad with 44
came back from chicago with 52
came back from college and 95
came back from college for 57
came back from florida and 54
came back from germany and 117
came back from germany with 95
came back from holiday and 63
came back from ireland and 45
came back from overseas and 103
came back from overseas with 42
came back from vacation and 129
came back from vietnam and 203
came back from vietnam with 142
came back here because you 81
came back into contact with 93
came back into general use 130
came back more quickly than 76
came back more unhappy each 61
came back very quickly with 44
came down from central asia 124
came down from chicago and 84
came down from detroit with 50
came down from olympus and 95
came down here because you 77
came down more quickly than 47
came early into contact with 182
came even more quickly than 53
came even more rapidly than 119
came even more swiftly than 66
came from away forward that 44
came from great britain and 923
came from many sources and 296
came from many sources but 43
came from north america and 260
came from other sources and 150
came from other sources than 182
came from other sources too 61
came from south america and 423
came from south america with 77
came from their contact with 57
came from their natural and 45
came from their parents and 49
came from west germany and 86
came from west virginia and 86
came here from germany and 45
came home from america and 45
came home from college and 441
came home from college for 499
came home from college one 96
came home from college that 63
came home from college with 155
came home from germany and 43
came home from overseas and 44
came home from service with 66
came home from vietnam and 88
came home from vietnam with 45
came home much touched with 47
came home very excited and 47
came into early contact with 253
came into full contact with 146
came into living contact with 76
came into more contact with 91
came into more general use 4473
came into some contact with 98
came into such general use 539
came into their bedroom and 45
came into their country and 42
came into very general use 537
came into your bedroom and 56
came more into contact with 274
came most into contact with 116
came much into contact with 185
came much more quickly than 179
came much more rapidly than 62
came over from america and 73
came over from america for 47
came over from america with 57
came over from germany and 139
came over from germany with 91
came over from holland and 119
came over from holland with 258
came over from ireland and 301
came over from ireland for 57
came over from ireland with 156
came over here because they 59
came over here because you 54
camp having been pitched near 51
