cage from which there is 109
cage when birds flew by 43
cake were thrown into the 135
call good every kind of 176
call last night from the 189
call three times upon the 104
call went echoing down the 139
call your deeds past to 51
call your father from the 53
call your mother mine at 41
calm good sense says to 49
came away again from the 53
came away easily from the 55
came away father told me 47
came back about half an 150
came back after half an 128
came back after seeing the 46
came back again along the 41
came back again during the 41
came back again from the 268
came back again into the 413
came back again when he 41
came back again when the 91
came back alive from the 108
came back either ship or 147
came back within half an 42
came down again from the 432
came down again into the 390
came down again upon the 92
came down armed into the 42
came down plump into the 55
came down rather hard on 64
came down rather late to 45
came down really hard on 44
came down right side up 40
came forth again into the 179
came forth alive from the 77
came forth fresh from the 48
came from china during the 52
came from either side of 81
came from every kind of 83
came from every land to 40
came from every part of 3628
came from every part to 60
came from every side at 61
came from every side of 96
came from every side to 131
came from every sort of 63
came from every town in 72
came from every type of 50
came from every walk in 44
came from every walk of 781
came from heaven like the 465
came from heaven when we 180
came from lower down the 80
came from miles away to 403
came from people living in 85
came from people such as 76
came from right here in 81
came from rural areas in 256
came from rural areas of 236
came from rural areas or 134
came from rural areas to 92
came from seven years of 72
came from sinai into the 70
came from spain during the 51
came from taxes paid by 95
came from towns such as 53
came from urban areas in 92
came from urban areas of 57
came here father used to 41
came here right from the 50
came home about half an 41
came home about nine in 59
came home after work to 71
came home again from the 73
came home chief mate of 50
came home drunk from the 182
came home rather late in 40
came home tired from the 86
came home within half an 53
came into action during the 95
came into action from the 240
came into action south of 44
came into action when the 132
came into china during the 50
came into china from the 152
came into egypt from the 131
came into favor during the 84
came into focus during the 218
came into focus when the 69
came into force during the 311
came into force early in 221
came into force from the 710
came into force late in 56
came into force only in 407
came into force only on 225
came into force prior to 69
came into force upon the 74
came into force when the 211
