call for men which i 127
came and sat under a 52
came and was given a 42
came now and again a 60
came one day after a 79
came one day while i 75
came out and after a 81
came out and began a 51
came out and fired a 50
came out and found a 88
came out and spent a 79
came out and spoke a 44
came out and stood a 71
came out and waved a 61
came out and wrote a 58
came out they found a 83
came out with about a 83
came out with quite a 106
camp and was given a 40
cape and cap which i 45
care does not imply a 45
care for and raise a 162
care for and train a 47
care for her until i 87
care for her while i 145
care for him while i 144
care for them while i 112
care for you until i 100
care for you while i 138
care how you trust a 111
caring for and feeding a 65
caring for and raising a 104
case and for which a 60
case and one where a 78
case and was given a 42
case but one which i 55
case did not create a 94
case did not raise a 62
case does not cause a 45
case does not create a 74
case does not imply a 74
case does not offer a 56
case does not prove a 44
case does not raise a 96
case they are given a 73
case was not about a 93
case was not really a 73
case was one where a 102
case was that where a 50
case with that which i 253
case you can create a 58
cease this war until i 51
chat with you about a 59
chip off too small a 50
city and was given a 43
city can not scare a 71
city they had built a 68
city was put under a 48
clear that one needs a 71
clear that she hoped i 60
clear that she wants a 45
clear that they share a 147
club that met twice a 40
coin and then rolling a 47
cold and was running a 80
coma and death within a 120
coma and die within a 44
come and see where i 324
come out all right i 65
come out and dance a 41
come out and fight a 152
come out and shoot a 55
come out and spend a 365
come out for about a 40
come out for quite a 51
come out with either a 43
come out with quite a 74
come this way again i 83
coming and going while i 56
coming and going within a 89
cone has now taken a 41
corn meal and grease a 95
cowl does not imply a 51
cuts with his knife a 46
